order_key,date_key,customer_key,employee_key,location_key,order_status,order_amount,item_count,shipping_amount
38,20251111,298,95,8,Cancelled,1074.13,4,304.52
39,20240613,529,5,7,Cancelled,1576.76,5,207.09
40,20240127,299,39,10,Completed,324.52,4,212.53
41,20250702,114,16,9,Completed,5758.71,2,189.14
42,20250330,876,5,11,Completed,1066.9,5,397.81
43,20251012,498,56,11,Cancelled,4622.9,5,1.48
44,20241130,54,61,2,Cancelled,957.09,2,90.78
45,20240113,826,59,10,Completed,1536.13,3,374.16
46,20240115,942,42,11,Completed,875.6,4,204.33
47,20241112,662,79,3,Pending,774.56,5,211.9
48,20240701,328,50,10,Pending,1294.05,3,310.98
49,20251105,860,54,8,Completed,1464.41,4,38.23
50,20240327,739,45,8,Cancelled,1221.86,4,344.89
51,20251005,285,21,9,Cancelled,484.19,2,387.28
52,20240607,331,66,5,Completed,2052.75,2,198.99
53,20240328,988,83,11,Cancelled,341.92,5,347.83
54,20240719,954,31,9,Completed,1248.49,3,227.29
55,20240415,677,47,6,Cancelled,462.03,2,208.93
56,20241020,37,90,8,Pending,3361.84,3,11.96
57,20240829,230,21,12,Completed,4383.91,2,491.01
58,20250121,354,43,5,Pending,2626.75,1,241.91
59,20250127,536,27,11,Completed,1117.67,3,436.49
60,20240101,868,35,1,Completed,903.94,1,204.11
61,20240401,849,46,10,Completed,1335.48,5,138.93
62,20240428,275,93,8,Cancelled,1565.77,5,378.87
63,20240522,109,2,9,Cancelled,2406.92,2,384.97
64,20240309,276,36,7,Pending,2249.09,4,449.47
65,20240817,236,87,6,Completed,320.33,2,382.04
66,20250205,899,9,2,Completed,2778.64,4,351.18
67,20240813,15,51,3,Completed,2227.17,3,2.5
68,20240828,831,16,11,Completed,875.28,4,84.36
69,20241209,657,56,5,Completed,754.46,4,287.83
70,20250204,106,72,2,Cancelled,1718.66,1,287.02
71,20240829,686,64,2,Pending,1889.49,5,326.83
72,20240611,581,57,4,Cancelled,677.48,2,316.65
73,20241026,4,75,9,Completed,1714.05,4,54.51
74,20240118,224,54,5,Completed,1896.2,4,473.18
75,20241226,349,62,6,Completed,3250.09,4,225.16
76,20251119,216,9,9,Completed,1496.95,4,367.04
77,20241017,579,3,8,Cancelled,322.98,1,371.18
78,20240320,616,17,1,Completed,2001.46,4,106.77
79,20250531,170,54,5,Pending,423.04,2,205.83
80,20240402,124,40,9,Completed,828.85,3,27.21
81,20240521,656,37,9,Pending,555.23,1,13.85
82,20240417,470,45,5,Completed,2428.66,3,75.24
83,20251007,266,99,3,Pending,686.13,2,58.33
84,20251218,256,38,3,Cancelled,3638.98,4,358.61
85,20250220,40,45,2,Completed,647.85,3,246.75
86,20250327,854,51,2,Completed,326.74,3,194.31
87,20250416,842,78,12,Completed,1238.51,3,83.11
88,20250322,555,74,5,Completed,565.48,3,196.91
89,20250201,350,98,4,Cancelled,4690.36,4,402.19
90,20251222,216,64,6,Cancelled,949.91,1,460.29
91,20250619,308,96,7,Cancelled,4118.99,5,194.6
92,20240305,927,62,2,Completed,1280.84,1,356.95
93,20241013,89,54,11,Cancelled,2175.35,2,423.18
94,20251213,823,56,6,Completed,1071.18,4,197.19
95,20241022,305,49,7,Completed,10956.84,1,143.37
96,20240529,266,21,7,Completed,652.57,2,184.55
97,20250926,810,37,12,Completed,142.34,4,208.53
98,20250331,962,61,12,Completed,2014.56,4,361.59
99,20250215,992,61,2,Pending,720.57,5,140.1
100,20241103,268,16,9,Completed,1926.46,4,73.93
101,20240331,592,81,2,Cancelled,1547.74,2,283.76
102,20241007,293,72,1,Completed,1071.14,2,10.14
103,20241115,194,53,7,Pending,1181.38,1,242.1
104,20251111,386,46,6,Completed,2269.69,4,352.93
105,20240812,63,56,6,Cancelled,1225.35,1,131.43
106,20240419,165,59,1,Completed,1447.79,1,7.84
107,20241108,596,43,8,Completed,1098.55,5,442.92
108,20251229,688,87,7,Cancelled,6019.18,1,182.62
109,20241218,271,16,1,Completed,4664.24,2,166.77
110,20241004,558,38,5,Completed,503.74,3,352.17
111,20250502,765,40,2,Completed,1639.31,1,85.05
112,20250419,895,10,11,Cancelled,852.66,4,345.24
113,20240806,569,9,9,Cancelled,604.14,2,306.2
114,20251208,241,90,6,Cancelled,126.64,2,106.66
115,20250309,713,78,2,Completed,1260.97,3,182.18
116,20240212,171,37,11,Completed,1340.87,2,454.49
117,20241024,140,27,5,Completed,4840.25,2,353.2
118,20251105,359,41,8,Cancelled,3781.77,5,415.82
119,20241014,329,71,9,Completed,2424.71,3,211.57
120,20250219,147,30,5,Completed,2952.24,5,316.74
121,20250323,53,7,12,Completed,3233.66,2,154.69
122,20250529,947,43,3,Completed,2416.51,5,218.13
123,20250929,678,60,5,Completed,4953.28,5,488.13
124,20240419,718,53,3,Completed,592.49,1,324.88
125,20250112,67,18,5,Completed,1107.73,1,112.78
126,20250124,797,85,10,Cancelled,989.4,4,346.65
127,20240421,365,64,6,Completed,1052.4,2,497.08
128,20250507,749,73,11,Completed,1449.1,4,347.36
129,20240327,491,96,11,Completed,6039.41,3,309.43
130,20241129,243,52,4,Completed,3348.53,2,311.65
131,20240829,263,58,10,Pending,4352.47,2,365.29
132,20240423,141,77,6,Cancelled,1537.11,2,487.35
133,20250824,830,78,6,Completed,1482.43,4,0.58
134,20240627,430,85,4,Cancelled,2598.52,1,75.99
135,20240705,781,71,1,Completed,2311.47,1,342.33
136,20250916,830,6,6,Cancelled,2310.35,5,28.43
137,20251003,167,36,9,Completed,10453.8,2,396.84
138,20240126,331,60,11,Cancelled,2614.12,4,131.53
139,20240722,125,45,5,Completed,871.58,2,387.15
140,20250602,10,5,2,Completed,931.57,1,436.67
141,20250722,987,27,6,Pending,3208.27,3,103.49
142,20251231,661,31,4,Completed,3014.01,2,456.62
143,20250209,452,4,12,Cancelled,3579.52,4,55.61
144,20240106,201,77,9,Completed,2481.72,5,131.62
145,20250930,591,38,11,Completed,711.89,5,144.58
146,20240427,543,80,4,Pending,5593.43,4,180.58
147,20240329,223,88,6,Completed,4790.09,1,355.59
148,20250507,15,89,1,Cancelled,1201.72,5,93.58
149,20250317,469,91,2,Completed,2193.38,5,218.76
150,20240213,509,50,5,Cancelled,1898.17,1,437.2
151,20240503,799,25,5,Cancelled,1215.32,3,18.07
152,20250307,394,9,9,Pending,647.2,5,284.98
153,20240705,98,63,3,Cancelled,2590.44,5,306.9
154,20250515,881,13,12,Pending,495.92,2,141.09
155,20241027,414,25,10,Completed,1016.07,4,398.43
156,20250305,722,25,11,Cancelled,6434.69,2,471.79
157,20241213,44,28,4,Completed,2282.61,5,172.68
158,20240923,37,38,7,Completed,2222.81,5,420.94
159,20240907,24,34,7,Completed,1292.55,4,121.31
160,20250524,790,53,10,Completed,469.14,2,118.81
161,20250111,241,96,11,Completed,2278.85,2,277.43
162,20250310,792,65,7,Cancelled,2438.47,3,265.76
163,20250226,945,68,12,Completed,3088.19,5,454.71
164,20240531,664,17,6,Completed,1195.01,2,225.68
165,20251029,986,12,4,Completed,1179.75,3,283.01
166,20250215,930,19,3,Completed,2577.23,4,172.44
167,20250608,723,85,5,Completed,598.08,2,110.23
168,20251006,804,18,4,Cancelled,3135.22,2,354.03
169,20251106,604,99,3,Completed,1439.13,2,31.29
170,20250502,219,76,6,Cancelled,2068.19,3,430.87
171,20250729,103,83,4,Cancelled,10364.68,1,457.55
172,20241210,382,31,12,Pending,1316.15,1,264.02
173,20250623,476,16,4,Completed,1828.86,4,38.3
174,20240823,350,17,8,Completed,1675.67,5,167.49
175,20250604,103,86,10,Completed,335.93,5,29.78
176,20240303,505,44,12,Completed,2668.23,5,115.86
177,20251030,499,41,9,Cancelled,252.08,5,325.48
178,20240627,954,25,4,Completed,2998.82,5,13.58
179,20250424,955,36,7,Completed,940.78,1,125.87
180,20240109,616,37,1,Completed,906.33,5,302.68
181,20240423,851,75,4,Completed,1586.43,3,411.23
182,20251222,313,83,12,Completed,566.43,4,345.59
183,20250901,970,47,1,Cancelled,1495.75,5,305.91
184,20240611,942,34,4,Completed,680.82,1,87.41
185,20240405,126,46,1,Completed,583.2,2,390.52
186,20250818,701,18,7,Pending,1373.68,1,135.93
187,20251224,458,7,10,Pending,4353.84,3,377.42
188,20240503,267,24,1,Pending,2915.49,4,181.15
189,20250430,412,3,2,Pending,1058.89,3,222.3
190,20240726,907,4,11,Completed,1435.15,3,447.6
191,20250628,925,24,4,Cancelled,1059.56,2,83.64
192,20241101,345,91,1,Completed,629.31,2,303.5
193,20240401,462,19,2,Completed,707.86,3,397.49
194,20240825,517,70,11,Completed,2021.81,1,115.45
195,20250128,734,15,12,Completed,912.11,3,200.38
196,20250806,480,47,2,Completed,1558.52,5,153.58
197,20240116,396,61,4,Completed,723.04,3,377.24
198,20251201,924,57,3,Cancelled,3082.25,1,307.11
199,20250419,373,80,6,Completed,2727.66,3,241.14
200,20251001,266,26,10,Completed,5683.42,2,426.96
201,20251110,327,75,10,Completed,4862.39,4,155.38
202,20240422,334,41,5,Completed,782.65,4,103.91
203,20240309,556,45,9,Pending,822.25,5,392.18
204,20250721,661,32,4,Cancelled,2166.99,4,162.63
205,20240517,135,100,11,Completed,805.08,2,202.95
206,20240418,887,83,8,Completed,1974.74,1,276.03
207,20241208,254,47,12,Completed,1240.2,1,491.91
208,20251029,115,75,4,Completed,3406.05,4,173.46
209,20250804,669,92,12,Cancelled,3484.95,3,318.49
210,20250113,210,29,4,Completed,1280.34,2,456.96
211,20240523,751,33,9,Completed,378.58,4,138.61
212,20240902,949,77,1,Cancelled,3671.28,1,395.33
213,20250518,693,29,3,Pending,1003.38,4,368.77
214,20240424,778,10,7,Cancelled,1605.54,4,388.13
215,20250118,495,60,7,Completed,1466.49,1,406.53
216,20240109,347,21,2,Completed,2224.52,5,221.51
217,20240825,614,59,1,Completed,994.35,5,67.37
218,20240630,358,11,11,Completed,668.52,4,258.77
219,20250512,877,48,3,Completed,1846.86,4,90.02
220,20251030,470,24,10,Completed,3169.08,1,72.85
221,20240417,499,53,3,Completed,1482.43,5,239.04
222,20250805,674,23,4,Completed,1478.81,1,133.59
223,20250424,190,26,1,Pending,633.2,5,196.22
224,20251209,562,91,7,Cancelled,2468.22,3,96.67
225,20251028,754,99,7,Completed,2615.19,4,425.72
226,20240314,777,33,7,Pending,1501.47,1,364.32
227,20250627,225,65,9,Completed,750.33,2,316.66
228,20250308,55,36,8,Cancelled,1746.67,1,50.94
229,20240323,195,18,3,Completed,1868.16,4,157.56
230,20240706,820,10,6,Completed,1583.22,2,315.17
231,20251108,266,90,1,Completed,687.8,2,101.22
232,20250131,59,7,8,Completed,2004.06,1,417.93
233,20240904,598,50,5,Pending,1863.35,1,437.7
234,20240822,881,22,3,Completed,2287.03,3,279.18
235,20250904,225,77,11,Completed,1467.01,2,66.16
236,20240726,44,14,6,Completed,4568.06,1,109.7
237,20240426,141,58,1,Cancelled,1633.5,5,10.38
238,20250223,128,35,2,Pending,4994.09,2,142.74
239,20251226,205,53,4,Completed,1955.29,1,405.33
240,20240514,181,19,12,Completed,647.65,1,150.65
241,20240705,638,12,2,Completed,3192.79,3,407.13
242,20241208,224,18,5,Cancelled,1222.49,3,430.57
243,20240526,549,58,5,Cancelled,1146.78,1,428.26
244,20250420,402,65,8,Pending,3753.62,2,415.74
245,20240704,655,91,8,Cancelled,602.13,2,97.73
246,20240403,656,95,6,Completed,402.85,1,306.63
247,20240709,593,76,10,Cancelled,1372.93,4,212.39
248,20251111,893,2,1,Completed,2082.16,2,112.26
249,20251114,197,71,5,Completed,3274.91,4,459.93
250,20250104,525,71,1,Cancelled,1836.98,1,481.89
251,20241019,395,71,4,Completed,270.28,1,188.16
252,20250822,533,66,4,Completed,752.35,5,420.61
253,20240522,140,69,11,Completed,597.21,2,496.6
254,20250423,320,59,9,Completed,362.07,2,473.59
255,20250512,942,62,3,Cancelled,1427.78,3,129.41
256,20250603,801,70,8,Completed,2461.99,4,11.2
257,20240608,427,5,10,Cancelled,3558.06,4,94.25
258,20250607,111,51,3,Completed,2433.61,4,87.73
259,20250323,649,13,7,Cancelled,1046.85,5,134.23
260,20251001,302,93,6,Completed,3888.93,3,188.0
261,20240507,330,99,11,Completed,1382.57,2,403.88
262,20250324,97,16,5,Completed,1717.06,3,173.41
263,20250829,290,90,9,Completed,963.13,2,450.75
264,20240722,215,48,7,Completed,1344.76,3,340.6
265,20250627,34,68,4,Completed,1168.0,1,42.48
266,20240313,587,66,5,Completed,541.74,3,492.27
267,20250608,970,12,11,Completed,2723.37,3,138.79
268,20250319,126,91,11,Cancelled,1870.84,2,351.88
269,20240520,53,65,4,Pending,3089.95,1,397.59
270,20240218,101,49,6,Cancelled,931.53,1,187.27
271,20250628,546,62,2,Cancelled,2876.64,1,442.84
272,20240625,826,98,6,Cancelled,466.37,2,404.91
273,20241229,310,65,11,Cancelled,2522.86,5,385.04
274,20240214,119,66,9,Pending,2809.15,3,442.09
275,20251205,96,88,6,Pending,712.8,5,173.15
276,20250205,609,70,10,Completed,3997.4,1,364.76
277,20251111,357,15,7,Cancelled,5691.83,5,245.27
278,20240427,353,82,6,Cancelled,1032.91,5,345.98
279,20240530,239,90,1,Completed,5216.17,1,369.06
280,20250322,897,74,2,Cancelled,419.32,1,317.22
281,20250317,375,16,7,Cancelled,1467.02,4,423.12
282,20250801,708,53,2,Completed,202.09,2,120.58
283,20251109,743,6,1,Pending,3441.69,4,14.46
284,20250823,60,78,4,Completed,480.93,4,331.04
285,20240412,249,96,7,Cancelled,343.45,1,32.74
286,20240814,896,4,9,Completed,2018.01,5,127.42
287,20251030,883,11,12,Cancelled,3748.18,5,86.96
288,20250205,414,94,8,Completed,1183.71,3,173.2
289,20250925,157,80,12,Completed,1824.47,5,494.87
290,20250215,299,83,4,Completed,6697.72,3,346.07
291,20240206,950,21,8,Pending,764.68,4,18.11
292,20241211,673,64,1,Cancelled,746.1,2,487.55
293,20250825,76,83,2,Completed,3899.09,4,478.09
294,20250423,718,7,8,Cancelled,1957.58,5,357.1
295,20240407,147,29,4,Completed,5114.69,4,390.51
296,20240602,304,30,7,Completed,580.22,4,84.32
297,20250916,482,55,12,Pending,391.07,3,267.89
298,20251216,352,26,10,Pending,519.42,1,228.81
299,20250704,699,35,5,Completed,2879.5,2,329.83
300,20240312,157,26,9,Completed,4274.61,4,367.07
301,20250328,878,7,12,Cancelled,3852.78,3,128.65
302,20250829,594,68,3,Completed,2551.21,1,141.99
303,20250412,306,64,7,Completed,4457.1,2,437.21
304,20250310,957,88,9,Completed,1006.35,3,137.83
305,20241207,479,58,8,Completed,334.06,1,176.87
306,20240627,417,69,6,Cancelled,448.76,3,353.41
307,20240724,22,36,6,Completed,511.54,5,358.28
308,20250629,997,39,7,Completed,347.89,4,189.38
309,20240221,847,42,6,Pending,550.92,5,486.37
310,20240302,177,97,5,Pending,780.25,5,174.1
311,20241016,948,48,11,Completed,2658.25,1,131.09
312,20250720,797,87,10,Pending,2070.28,2,38.98
313,20250425,421,33,8,Pending,5468.62,2,194.85
314,20250307,929,69,3,Completed,606.87,4,312.22
315,20250125,560,28,7,Pending,2205.04,1,44.74
316,20240321,689,40,3,Pending,4688.44,4,0.55
317,20240830,184,86,2,Completed,1087.12,2,195.1
318,20240228,110,69,3,Completed,1145.76,1,243.65
319,20250708,528,49,2,Pending,4941.33,2,135.98
320,20250702,327,41,10,Completed,1230.64,4,36.82
321,20240707,982,80,7,Completed,5149.13,3,362.03
322,20240802,86,16,9,Completed,500.1,5,166.57
323,20240820,763,85,12,Completed,5974.89,5,114.78
324,20251012,602,62,4,Completed,4473.54,3,196.38
325,20241223,879,33,3,Completed,761.19,4,200.74
326,20250711,999,70,2,Completed,1278.47,3,165.49
327,20241124,871,100,1,Cancelled,606.16,2,374.69
328,20250525,375,35,1,Completed,1102.28,4,355.37
329,20250121,696,40,8,Completed,468.22,1,17.97
330,20240722,163,93,9,Cancelled,393.82,5,175.54
331,20251002,486,35,4,Pending,599.97,4,285.29
332,20250602,269,86,7,Completed,3749.85,2,416.74
333,20250716,251,90,3,Completed,369.4,1,158.75
334,20251124,571,59,9,Cancelled,4906.0,1,13.84
335,20240630,127,9,9,Completed,3400.35,4,423.31
336,20240307,569,7,9,Completed,4693.47,4,357.95
337,20250301,401,29,7,Completed,2155.5,4,281.32
338,20240826,230,2,11,Completed,6119.99,1,293.51
339,20241114,563,77,2,Pending,519.34,1,376.77
340,20240620,751,64,5,Completed,4888.66,5,263.72
341,20241018,611,46,1,Cancelled,18641.66,3,309.48
342,20241014,89,82,10,Completed,1325.03,2,497.72
343,20240913,563,14,1,Completed,1565.12,1,111.36
344,20250626,624,51,6,Pending,782.79,1,316.25
345,20250309,684,34,3,Pending,1725.22,4,393.92
346,20241212,426,3,9,Completed,1898.68,4,73.81
347,20240323,95,48,5,Completed,247.05,2,460.44
348,20250221,128,15,7,Completed,2669.44,2,146.0
349,20240507,332,5,12,Completed,3974.6,2,384.93
350,20240817,635,22,12,Completed,808.41,3,312.15
351,20241030,740,20,6,Completed,1164.99,5,274.84
352,20240413,674,63,5,Completed,3224.6,3,463.57
353,20241011,313,80,4,Completed,777.93,4,213.11
354,20240714,441,49,9,Pending,2964.94,5,230.69
355,20250913,47,65,12,Pending,2056.7,3,265.72
356,20250920,798,11,8,Completed,10592.6,2,449.53
357,20240104,354,79,7,Completed,1476.53,5,491.78
358,20250316,510,51,12,Cancelled,1067.37,4,475.03
359,20250413,450,43,3,Cancelled,1993.62,4,424.53
360,20241003,286,87,1,Completed,1794.59,5,241.08
361,20241208,169,32,2,Pending,6036.38,4,141.41
362,20250731,954,44,8,Cancelled,5788.16,3,473.45
363,20241003,120,93,11,Completed,912.64,5,74.07
364,20240217,945,15,3,Cancelled,1402.8,1,18.69
365,20240929,114,53,9,Completed,938.52,5,265.75
366,20240704,96,58,11,Pending,814.53,2,300.98
367,20241006,904,71,11,Completed,120.47,5,340.17
368,20240617,947,93,10,Pending,6317.43,3,204.25
369,20240419,896,35,5,Completed,956.94,5,416.76
370,20251221,776,12,8,Completed,1144.95,2,339.9
371,20240404,493,40,7,Completed,15004.78,4,422.88
372,20250531,107,16,6,Pending,980.29,3,429.99
373,20250608,592,73,9,Cancelled,1413.1,4,443.98
374,20250327,520,57,9,Completed,2025.8,3,296.93
375,20251028,736,76,10,Completed,2144.09,5,49.42
376,20240104,35,34,7,Completed,997.31,4,104.58
377,20240808,78,96,8,Cancelled,4018.35,2,93.94
378,20240514,589,90,4,Completed,1860.26,4,243.56
379,20250225,856,92,6,Completed,1789.81,2,80.85
380,20250409,934,72,10,Completed,954.33,4,155.31
381,20251018,569,19,10,Cancelled,1473.7,3,112.3
382,20241004,369,15,7,Completed,3568.03,2,393.03
383,20240621,473,96,7,Cancelled,3577.44,2,337.03
384,20251106,509,88,4,Cancelled,1160.63,3,410.21
385,20250506,620,89,5,Completed,880.77,3,6.97
386,20250713,228,65,8,Pending,3303.77,5,350.61
387,20241121,389,86,2,Completed,2081.94,4,5.59
388,20241123,541,50,1,Pending,3299.32,4,186.41
389,20241011,851,17,8,Completed,753.61,1,0.59
390,20250701,803,26,9,Pending,1608.13,1,387.41
391,20240602,754,86,12,Completed,3305.89,1,118.74
392,20251214,216,65,6,Completed,925.47,1,295.3
393,20240508,407,100,2,Pending,7404.28,1,31.97
394,20241202,554,90,8,Completed,6028.07,4,7.18
395,20240817,968,76,4,Completed,1389.81,3,470.37
396,20250414,355,4,2,Pending,1397.76,3,459.43
397,20250512,919,19,8,Cancelled,2115.27,4,121.67
398,20251102,748,38,9,Completed,1874.28,3,477.36
399,20250730,634,4,1,Completed,4322.91,1,52.16
400,20240630,703,94,9,Completed,808.62,1,91.95
401,20240531,794,23,7,Completed,815.52,1,225.67
402,20251010,699,39,9,Completed,2032.03,2,318.19
403,20241222,673,68,8,Completed,2430.74,5,177.64
404,20240312,378,4,6,Completed,1589.68,1,222.07
405,20250826,428,64,5,Completed,3348.96,4,58.83
406,20250419,600,11,8,Completed,4884.81,1,479.44
407,20240119,844,91,3,Completed,2974.15,1,65.06
408,20250726,652,70,7,Completed,2201.69,2,32.28
409,20250319,988,34,10,Pending,1375.75,4,74.42
410,20250325,681,71,3,Completed,1737.18,5,108.96
411,20250924,408,32,2,Completed,548.39,4,48.47
412,20241228,576,12,1,Completed,631.66,5,143.04
413,20241203,624,1,7,Completed,4478.19,3,27.14
414,20250327,867,22,5,Completed,6653.45,2,102.04
415,20240524,256,71,8,Completed,548.41,3,106.53
416,20240420,249,57,10,Completed,2533.12,2,5.3
417,20250908,202,28,12,Completed,483.16,2,44.77
418,20240606,56,69,4,Completed,6114.24,1,340.42
419,20250103,676,39,2,Cancelled,1614.3,4,387.17
420,20240716,963,16,9,Completed,12276.24,5,115.99
421,20240617,614,68,1,Cancelled,983.09,1,353.27
422,20250312,61,46,8,Pending,1088.12,1,203.57
423,20250809,365,67,4,Completed,2252.22,5,169.69
424,20241119,903,57,5,Cancelled,3371.0,5,349.37
425,20240411,52,11,2,Completed,3130.63,1,410.97
426,20240627,613,5,1,Completed,3566.0,4,295.23
427,20240430,441,11,3,Completed,1365.38,3,257.29
428,20251007,919,23,6,Completed,3599.01,4,231.8
429,20240821,514,23,4,Completed,9689.89,3,155.41
430,20240930,565,92,5,Completed,3105.63,2,396.59
431,20240221,723,79,2,Completed,850.32,2,377.01
432,20241122,822,88,2,Completed,2302.07,4,386.15
433,20251030,516,48,9,Cancelled,341.66,2,438.58
434,20241026,722,33,10,Completed,2869.49,1,459.7
435,20250421,806,41,9,Pending,430.98,3,455.32
436,20240513,526,87,12,Cancelled,2906.28,4,361.73
437,20240414,717,36,9,Pending,1584.04,4,180.45
438,20250618,364,64,2,Pending,3654.96,4,351.49
439,20240218,356,15,9,Cancelled,1700.73,3,455.78
440,20241123,3,99,3,Completed,5067.69,5,78.09
441,20240819,670,65,10,Pending,2586.34,3,44.15
442,20240112,251,97,8,Completed,3949.34,4,316.36
443,20250123,814,30,11,Completed,1203.18,5,270.43
444,20251205,952,62,12,Completed,1153.56,5,138.06
445,20240220,876,28,9,Pending,536.43,3,177.14
446,20250819,276,47,12,Pending,658.49,3,113.87
447,20250129,652,33,7,Pending,1767.9,5,340.9
448,20250612,752,15,12,Completed,1724.02,3,383.87
449,20240311,507,45,2,Cancelled,2256.64,4,101.32
450,20250927,509,54,6,Cancelled,942.72,1,214.84
451,20240109,438,16,10,Completed,1874.63,5,67.56
452,20251024,309,40,12,Pending,4804.35,1,27.81
453,20250425,574,10,11,Cancelled,2314.74,2,29.9
454,20240903,992,65,5,Completed,1689.3,1,201.41
455,20240106,219,32,8,Pending,2056.74,5,402.4
456,20250322,47,9,2,Completed,4425.72,1,169.55
457,20240304,57,52,2,Cancelled,1880.44,3,344.49
458,20250321,583,84,9,Completed,1079.81,1,280.35
459,20250719,270,100,4,Pending,1088.44,1,202.28
460,20240714,462,97,7,Completed,1058.6,2,84.46
461,20240623,951,18,3,Cancelled,1037.58,1,90.74
462,20240611,77,21,10,Cancelled,3077.14,2,322.89
463,20240613,175,90,2,Pending,6377.03,1,163.39
464,20240324,215,64,8,Pending,1179.83,4,345.04
465,20240701,458,55,9,Completed,794.94,1,303.43
466,20250426,695,81,10,Completed,592.14,3,335.51
467,20240809,184,7,4,Pending,6510.33,1,342.62
468,20250724,109,56,5,Completed,3544.58,5,223.03
469,20250821,86,58,7,Cancelled,948.79,3,203.9
470,20250710,802,94,4,Pending,1830.3,2,322.13
471,20250129,30,47,9,Completed,5026.03,2,472.28
472,20240819,626,52,10,Cancelled,1554.72,1,297.28
473,20251110,579,81,10,Completed,3262.04,2,429.18
474,20240530,101,28,6,Completed,1443.9,5,111.89
475,20241205,553,7,8,Completed,1291.61,2,41.75
476,20241127,287,48,3,Pending,196.56,5,312.68
477,20250629,515,62,3,Cancelled,1183.62,1,186.49
478,20250203,138,49,5,Cancelled,1065.39,2,321.11
479,20250807,668,71,3,Pending,2480.79,4,70.63
480,20251102,798,26,10,Completed,1997.79,1,199.86
481,20241012,4,2,4,Completed,1916.43,2,440.46
482,20251001,533,79,12,Pending,3505.23,5,141.94
483,20240504,648,86,5,Completed,252.16,3,484.78
484,20251031,3,62,10,Cancelled,1572.46,5,289.13
485,20240510,725,32,1,Cancelled,641.73,1,390.2
486,20250913,543,38,9,Completed,601.09,5,175.51
487,20241012,307,48,6,Cancelled,1296.65,5,230.44
488,20251206,483,43,10,Completed,1664.56,2,211.83
489,20240404,683,23,3,Pending,2445.2,3,375.57
490,20241206,644,38,3,Completed,2318.79,1,77.34
491,20251021,777,30,11,Completed,844.55,1,240.14
492,20240204,35,45,7,Completed,1397.42,2,21.66
493,20240712,788,38,7,Completed,5164.96,2,380.2
494,20240302,36,53,8,Cancelled,5949.89,3,23.1
495,20240822,651,81,5,Cancelled,1279.83,5,214.82
496,20241012,350,34,12,Pending,1762.13,1,160.79
497,20250328,64,6,7,Completed,798.69,5,165.98
498,20240707,689,82,1,Pending,3721.3,2,58.31
499,20240425,553,19,4,Completed,10433.88,4,371.83
500,20240504,667,93,12,Completed,1066.21,5,113.64
501,20251116,376,53,6,Completed,4192.18,4,250.56
502,20251127,279,53,9,Pending,2949.21,1,455.15
503,20240610,625,41,1,Completed,1430.47,3,273.27
504,20240522,217,72,1,Completed,937.42,1,268.06
505,20240209,813,66,3,Completed,11881.21,2,71.36
506,20251202,684,94,7,Completed,3019.71,3,340.93
507,20250531,1000,2,8,Cancelled,3522.36,3,152.37
508,20250710,28,20,1,Completed,1381.25,5,217.17
509,20240731,586,28,12,Completed,1717.8,2,217.39
510,20250413,557,19,8,Cancelled,618.05,5,121.27
511,20240213,858,95,5,Completed,3007.02,3,28.86
512,20250509,425,8,6,Cancelled,1212.42,2,324.46
