target_key,date_key,location_key,department_key,target_type,target_amount
49,20240101,9,1,Revenue,1321475.05
50,20240101,9,2,Revenue,932902.58
51,20240101,9,3,Revenue,2474619.12
52,20240101,9,4,Revenue,510567.64
53,20240101,9,5,Revenue,1222654.25
54,20240101,9,6,Revenue,2141396.23
55,20240101,10,1,Revenue,1034041.7
56,20240101,10,2,Revenue,2016007.08
57,20240101,10,3,Revenue,1011396.52
58,20240101,10,4,Revenue,2116051.4
59,20240101,10,5,Revenue,1156390.76
60,20240101,10,6,Revenue,2074503.77
61,20240101,11,1,Revenue,2197368.81
62,20240101,11,2,Revenue,1711054.5
63,20240101,11,3,Revenue,991137.95
64,20240101,11,4,Revenue,1377229.77
65,20240101,11,5,Revenue,942675.61
66,20240101,11,6,Revenue,649287.3
67,20240101,12,1,Revenue,1822380.22
68,20240101,12,2,Revenue,1352547.24
69,20240101,12,3,Revenue,2211403.38
70,20240101,12,4,Revenue,1470619.65
71,20240101,12,5,Revenue,2240391.9
72,20240101,12,6,Revenue,625827.94
73,20240201,1,1,Revenue,1944527.03
74,20240201,1,2,Revenue,1728214.93
75,20240201,1,3,Revenue,1803866.93
76,20240201,1,4,Revenue,805360.73
77,20240201,1,5,Revenue,2271432.14
78,20240201,1,6,Revenue,1378182.13
79,20240201,2,1,Revenue,1692842.23
80,20240201,2,2,Revenue,2063641.76
81,20240201,2,3,Revenue,1933016.91
82,20240201,2,4,Revenue,1649680.56
83,20240201,2,5,Revenue,1781024.47
84,20240201,2,6,Revenue,1633506.77
85,20240201,3,1,Revenue,1957279.02
86,20240201,3,2,Revenue,2109455.17
87,20240201,3,3,Revenue,746778.13
88,20240201,3,4,Revenue,2410961.49
89,20240201,3,5,Revenue,2081577.64
90,20240201,3,6,Revenue,1008817.49
91,20240201,4,1,Revenue,880019.11
92,20240201,4,2,Revenue,919280.94
93,20240201,4,3,Revenue,1991417.59
94,20240201,4,4,Revenue,1707425.96
95,20240201,4,5,Revenue,2213391.72
96,20240201,4,6,Revenue,1173514.81
97,20240201,5,1,Revenue,1697424.68
98,20240201,5,2,Revenue,561356.78
99,20240201,5,3,Revenue,1883986.01
100,20240201,5,4,Revenue,974416.47
101,20240201,5,5,Revenue,1923379.19
102,20240201,5,6,Revenue,1339425.24
103,20240201,6,1,Revenue,2217373.23
104,20240201,6,2,Revenue,1297607.98
105,20240201,6,3,Revenue,1673371.38
106,20240201,6,4,Revenue,908178.48
107,20240201,6,5,Revenue,1231193.99
108,20240201,6,6,Revenue,910750.27
109,20240201,7,1,Revenue,897162.87
110,20240201,7,2,Revenue,670331.24
111,20240201,7,3,Revenue,1335041.16
112,20240201,7,4,Revenue,1112673.09
113,20240201,7,5,Revenue,2051163.14
114,20240201,7,6,Revenue,2094683.16
115,20240201,8,1,Revenue,1782859.22
116,20240201,8,2,Revenue,964308.44
117,20240201,8,3,Revenue,2267622.84
118,20240201,8,4,Revenue,641042.49
119,20240201,8,5,Revenue,1490330.73
120,20240201,8,6,Revenue,2253883.46
121,20240201,9,1,Revenue,979388.07
122,20240201,9,2,Revenue,735660.36
123,20240201,9,3,Revenue,1848076.5
124,20240201,9,4,Revenue,1649351.41
125,20240201,9,5,Revenue,2263586.44
126,20240201,9,6,Revenue,1090565.79
127,20240201,10,1,Revenue,664440.29
128,20240201,10,2,Revenue,1733601.14
129,20240201,10,3,Revenue,1473130.98
130,20240201,10,4,Revenue,1306698.89
131,20240201,10,5,Revenue,1158188.12
132,20240201,10,6,Revenue,1616582.11
133,20240201,11,1,Revenue,1088896.66
134,20240201,11,2,Revenue,1004437.0
135,20240201,11,3,Revenue,1996753.29
136,20240201,11,4,Revenue,1732007.46
137,20240201,11,5,Revenue,823206.92
138,20240201,11,6,Revenue,1625706.26
139,20240201,12,1,Revenue,1269330.14
140,20240201,12,2,Revenue,727071.89
141,20240201,12,3,Revenue,2442572.64
142,20240201,12,4,Revenue,1046568.91
143,20240201,12,5,Revenue,2283245.35
144,20240201,12,6,Revenue,1017722.5
145,20240301,1,1,Revenue,629258.6
146,20240301,1,2,Revenue,2320205.92
147,20240301,1,3,Revenue,2199124.72
148,20240301,1,4,Revenue,2435118.55
149,20240301,1,5,Revenue,746332.6
150,20240301,1,6,Revenue,2183521.67
151,20240301,2,1,Revenue,1814197.07
152,20240301,2,2,Revenue,1702867.19
153,20240301,2,3,Revenue,997599.82
154,20240301,2,4,Revenue,1584048.2
155,20240301,2,5,Revenue,2373920.2
156,20240301,2,6,Revenue,977803.58
157,20240301,3,1,Revenue,1448319.43
158,20240301,3,2,Revenue,1413597.51
159,20240301,3,3,Revenue,747671.18
160,20240301,3,4,Revenue,2104542.47
161,20240301,3,5,Revenue,506350.1
162,20240301,3,6,Revenue,1613929.08
163,20240301,4,1,Revenue,1650093.13
164,20240301,4,2,Revenue,2454978.19
165,20240301,4,3,Revenue,2241241.78
166,20240301,4,4,Revenue,1946814.5
167,20240301,4,5,Revenue,2015993.2
168,20240301,4,6,Revenue,635077.3
169,20240301,5,1,Revenue,2172968.9
170,20240301,5,2,Revenue,1292713.28
171,20240301,5,3,Revenue,1708422.54
172,20240301,5,4,Revenue,2494017.34
173,20240301,5,5,Revenue,860570.68
174,20240301,5,6,Revenue,866504.66
175,20240301,6,1,Revenue,1128774.14
176,20240301,6,2,Revenue,1120383.75
177,20240301,6,3,Revenue,670189.35
178,20240301,6,4,Revenue,929826.75
179,20240301,6,5,Revenue,2425476.72
180,20240301,6,6,Revenue,957457.36
181,20240301,7,1,Revenue,2350623.78
182,20240301,7,2,Revenue,1915238.42
183,20240301,7,3,Revenue,1530709.23
184,20240301,7,4,Revenue,2311842.44
185,20240301,7,5,Revenue,1486284.86
186,20240301,7,6,Revenue,1189140.06
187,20240301,8,1,Revenue,2071801.73
188,20240301,8,2,Revenue,1994552.46
189,20240301,8,3,Revenue,1560458.51
190,20240301,8,4,Revenue,707365.07
191,20240301,8,5,Revenue,970241.25
192,20240301,8,6,Revenue,801887.99
193,20240301,9,1,Revenue,683993.87
194,20240301,9,2,Revenue,1077796.6
195,20240301,9,3,Revenue,2295393.54
196,20240301,9,4,Revenue,534273.55
197,20240301,9,5,Revenue,2338427.47
198,20240301,9,6,Revenue,1014800.23
199,20240301,10,1,Revenue,885554.12
200,20240301,10,2,Revenue,2099906.12
201,20240301,10,3,Revenue,1525979.9
202,20240301,10,4,Revenue,2399294.59
203,20240301,10,5,Revenue,1715653.98
204,20240301,10,6,Revenue,563859.53
205,20240301,11,1,Revenue,1977910.55
206,20240301,11,2,Revenue,2020853.66
207,20240301,11,3,Revenue,1580851.51
208,20240301,11,4,Revenue,1679395.88
209,20240301,11,5,Revenue,1009663.09
210,20240301,11,6,Revenue,1935606.95
211,20240301,12,1,Revenue,1306515.41
212,20240301,12,2,Revenue,2465243.32
213,20240301,12,3,Revenue,1649375.24
214,20240301,12,4,Revenue,755048.79
215,20240301,12,5,Revenue,698195.74
216,20240301,12,6,Revenue,782150.66
217,20240401,1,1,Revenue,1412503.61
218,20240401,1,2,Revenue,1061607.11
219,20240401,1,3,Revenue,1977732.62
220,20240401,1,4,Revenue,1858862.93
221,20240401,1,5,Revenue,1010841.52
222,20240401,1,6,Revenue,2044916.48
223,20240401,2,1,Revenue,1989396.51
224,20240401,2,2,Revenue,1259147.94
225,20240401,2,3,Revenue,619273.75
226,20240401,2,4,Revenue,1799300.19
227,20240401,2,5,Revenue,1809322.01
228,20240401,2,6,Revenue,884395.59
229,20240401,3,1,Revenue,1696942.38
230,20240401,3,2,Revenue,1982154.29
231,20240401,3,3,Revenue,1843892.16
232,20240401,3,4,Revenue,868399.41
233,20240401,3,5,Revenue,812337.85
234,20240401,3,6,Revenue,2178630.78
235,20240401,4,1,Revenue,679262.57
236,20240401,4,2,Revenue,689373.75
237,20240401,4,3,Revenue,2269791.72
238,20240401,4,4,Revenue,840985.39
239,20240401,4,5,Revenue,573966.47
240,20240401,4,6,Revenue,1241470.18
241,20240401,5,1,Revenue,1057519.55
242,20240401,5,2,Revenue,2159315.95
243,20240401,5,3,Revenue,1992814.48
244,20240401,5,4,Revenue,1794767.67
245,20240401,5,5,Revenue,1775052.54
246,20240401,5,6,Revenue,892957.73
247,20240401,6,1,Revenue,2366081.1
248,20240401,6,2,Revenue,759386.87
249,20240401,6,3,Revenue,1614645.27
250,20240401,6,4,Revenue,541580.13
251,20240401,6,5,Revenue,874804.56
252,20240401,6,6,Revenue,1106757.02
253,20240401,7,1,Revenue,2324606.73
254,20240401,7,2,Revenue,2113248.67
255,20240401,7,3,Revenue,1780295.38
256,20240401,7,4,Revenue,1111285.15
257,20240401,7,5,Revenue,1580628.4
258,20240401,7,6,Revenue,1834711.94
259,20240401,8,1,Revenue,940715.76
260,20240401,8,2,Revenue,1567672.92
261,20240401,8,3,Revenue,1584125.05
262,20240401,8,4,Revenue,675665.28
263,20240401,8,5,Revenue,2428287.92
264,20240401,8,6,Revenue,507761.18
265,20240401,9,1,Revenue,1295465.54
266,20240401,9,2,Revenue,1695443.97
267,20240401,9,3,Revenue,2422392.4
268,20240401,9,4,Revenue,2017585.07
269,20240401,9,5,Revenue,2320621.35
270,20240401,9,6,Revenue,1494958.45
271,20240401,10,1,Revenue,2131813.19
272,20240401,10,2,Revenue,2358486.16
273,20240401,10,3,Revenue,1712839.87
274,20240401,10,4,Revenue,1726709.74
275,20240401,10,5,Revenue,1380965.95
276,20240401,10,6,Revenue,1877353.69
277,20240401,11,1,Revenue,1743829.95
278,20240401,11,2,Revenue,1631517.51
279,20240401,11,3,Revenue,1816590.02
280,20240401,11,4,Revenue,820724.47
281,20240401,11,5,Revenue,2411719.37
282,20240401,11,6,Revenue,2009232.85
283,20240401,12,1,Revenue,1720760.96
284,20240401,12,2,Revenue,1803513.14
285,20240401,12,3,Revenue,1940625.49
286,20240401,12,4,Revenue,2489259.59
287,20240401,12,5,Revenue,1140200.26
288,20240401,12,6,Revenue,936437.77
289,20240501,1,1,Revenue,1452745.7
290,20240501,1,2,Revenue,2179604.03
291,20240501,1,3,Revenue,1448828.75
292,20240501,1,4,Revenue,2233056.79
293,20240501,1,5,Revenue,1809172.14
294,20240501,1,6,Revenue,1047021.24
295,20240501,2,1,Revenue,903960.39
296,20240501,2,2,Revenue,2005271.31
297,20240501,2,3,Revenue,2252080.16
298,20240501,2,4,Revenue,1449281.38
299,20240501,2,5,Revenue,1166051.33
300,20240501,2,6,Revenue,1335370.84
301,20240501,3,1,Revenue,2145376.55
302,20240501,3,2,Revenue,1543422.14
303,20240501,3,3,Revenue,1684467.98
304,20240501,3,4,Revenue,2041861.37
305,20240501,3,5,Revenue,1320979.84
306,20240501,3,6,Revenue,527626.46
307,20240501,4,1,Revenue,2215846.93
308,20240501,4,2,Revenue,2489888.41
309,20240501,4,3,Revenue,2298842.92
310,20240501,4,4,Revenue,867816.11
311,20240501,4,5,Revenue,1705174.89
312,20240501,4,6,Revenue,2024546.68
313,20240501,5,1,Revenue,1484950.16
314,20240501,5,2,Revenue,1363384.46
315,20240501,5,3,Revenue,2382114.23
316,20240501,5,4,Revenue,1191854.66
317,20240501,5,5,Revenue,1131166.68
318,20240501,5,6,Revenue,1064247.42
319,20240501,6,1,Revenue,679676.13
320,20240501,6,2,Revenue,2351612.45
321,20240501,6,3,Revenue,1431003.9
322,20240501,6,4,Revenue,1873885.09
323,20240501,6,5,Revenue,2210269.64
324,20240501,6,6,Revenue,829646.17
325,20240501,7,1,Revenue,809267.26
326,20240501,7,2,Revenue,2019984.96
327,20240501,7,3,Revenue,1894120.46
328,20240501,7,4,Revenue,1069171.75
329,20240501,7,5,Revenue,556093.4
330,20240501,7,6,Revenue,1881464.79
331,20240501,8,1,Revenue,1575071.2
332,20240501,8,2,Revenue,1491371.3
333,20240501,8,3,Revenue,749474.58
334,20240501,8,4,Revenue,1697960.04
335,20240501,8,5,Revenue,1783615.84
336,20240501,8,6,Revenue,1724883.43
337,20240501,9,1,Revenue,1100287.69
338,20240501,9,2,Revenue,2174195.23
339,20240501,9,3,Revenue,1834497.31
340,20240501,9,4,Revenue,2127347.46
341,20240501,9,5,Revenue,1572875.08
342,20240501,9,6,Revenue,630215.44
343,20240501,10,1,Revenue,1309917.92
344,20240501,10,2,Revenue,1690145.86
345,20240501,10,3,Revenue,1361175.48
346,20240501,10,4,Revenue,2218549.57
347,20240501,10,5,Revenue,960490.86
348,20240501,10,6,Revenue,508440.4
349,20240501,11,1,Revenue,785642.97
350,20240501,11,2,Revenue,1683621.24
351,20240501,11,3,Revenue,2418088.29
352,20240501,11,4,Revenue,543750.31
353,20240501,11,5,Revenue,1410982.93
354,20240501,11,6,Revenue,639412.72
355,20240501,12,1,Revenue,790732.63
356,20240501,12,2,Revenue,1006758.67
357,20240501,12,3,Revenue,1788694.28
358,20240501,12,4,Revenue,602945.48
359,20240501,12,5,Revenue,762966.0
360,20240501,12,6,Revenue,967130.7
361,20240601,1,1,Revenue,1466912.22
362,20240601,1,2,Revenue,1634113.43
363,20240601,1,3,Revenue,1316367.46
364,20240601,1,4,Revenue,671393.19
365,20240601,1,5,Revenue,2235666.58
366,20240601,1,6,Revenue,1874465.5
367,20240601,2,1,Revenue,1954722.29
368,20240601,2,2,Revenue,881200.28
369,20240601,2,3,Revenue,1213479.77
370,20240601,2,4,Revenue,1807663.73
371,20240601,2,5,Revenue,2096078.08
372,20240601,2,6,Revenue,2305742.17
373,20240601,3,1,Revenue,1616448.21
374,20240601,3,2,Revenue,607894.66
375,20240601,3,3,Revenue,881584.65
376,20240601,3,4,Revenue,1689065.35
377,20240601,3,5,Revenue,2312344.01
378,20240601,3,6,Revenue,1009816.17
379,20240601,4,1,Revenue,1243149.32
380,20240601,4,2,Revenue,1738278.96
381,20240601,4,3,Revenue,700230.66
382,20240601,4,4,Revenue,1356260.05
383,20240601,4,5,Revenue,2067217.22
384,20240601,4,6,Revenue,603008.31
385,20240601,5,1,Revenue,2330152.14
386,20240601,5,2,Revenue,2155525.14
387,20240601,5,3,Revenue,1796525.26
388,20240601,5,4,Revenue,1704404.56
389,20240601,5,5,Revenue,1220972.69
390,20240601,5,6,Revenue,1689210.36
391,20240601,6,1,Revenue,1968032.48
392,20240601,6,2,Revenue,1780470.61
393,20240601,6,3,Revenue,1927302.22
394,20240601,6,4,Revenue,2488737.53
395,20240601,6,5,Revenue,1643755.81
396,20240601,6,6,Revenue,2442315.36
397,20240601,7,1,Revenue,1556917.58
398,20240601,7,2,Revenue,961202.26
399,20240601,7,3,Revenue,1468421.01
400,20240601,7,4,Revenue,865277.84
401,20240601,7,5,Revenue,1097992.68
402,20240601,7,6,Revenue,1186898.85
403,20240601,8,1,Revenue,1871721.1
404,20240601,8,2,Revenue,682456.9
405,20240601,8,3,Revenue,1670097.39
406,20240601,8,4,Revenue,2386418.43
407,20240601,8,5,Revenue,2054296.34
408,20240601,8,6,Revenue,1592933.24
409,20240601,9,1,Revenue,2460527.4
410,20240601,9,2,Revenue,2373983.49
411,20240601,9,3,Revenue,1541839.49
412,20240601,9,4,Revenue,1189200.45
413,20240601,9,5,Revenue,1061370.12
414,20240601,9,6,Revenue,2073373.37
415,20240601,10,1,Revenue,1025174.13
416,20240601,10,2,Revenue,1517188.55
417,20240601,10,3,Revenue,1618062.76
418,20240601,10,4,Revenue,2379622.3
419,20240601,10,5,Revenue,1383638.36
420,20240601,10,6,Revenue,1427958.29
421,20240601,11,1,Revenue,2250285.53
422,20240601,11,2,Revenue,935961.08
423,20240601,11,3,Revenue,1956962.98
424,20240601,11,4,Revenue,670247.96
425,20240601,11,5,Revenue,2055628.91
426,20240601,11,6,Revenue,597621.62
427,20240601,12,1,Revenue,2415443.07
428,20240601,12,2,Revenue,625363.97
429,20240601,12,3,Revenue,1059289.01
430,20240601,12,4,Revenue,1083639.93
431,20240601,12,5,Revenue,1222270.95
432,20240601,12,6,Revenue,1406124.43
433,20240701,1,1,Revenue,729407.16
434,20240701,1,2,Revenue,2253359.68
435,20240701,1,3,Revenue,2058965.1
436,20240701,1,4,Revenue,873862.02
437,20240701,1,5,Revenue,2202930.14
438,20240701,1,6,Revenue,1608032.65
439,20240701,2,1,Revenue,1810236.76
440,20240701,2,2,Revenue,1179173.77
441,20240701,2,3,Revenue,1695693.46
442,20240701,2,4,Revenue,2113737.94
443,20240701,2,5,Revenue,749071.13
444,20240701,2,6,Revenue,1037127.46
445,20240701,3,1,Revenue,1161909.43
446,20240701,3,2,Revenue,1137289.72
447,20240701,3,3,Revenue,570032.39
448,20240701,3,4,Revenue,999898.08
449,20240701,3,5,Revenue,1766470.61
450,20240701,3,6,Revenue,604878.02
451,20240701,4,1,Revenue,776990.49
452,20240701,4,2,Revenue,2439892.19
453,20240701,4,3,Revenue,1687376.25
454,20240701,4,4,Revenue,1556148.55
455,20240701,4,5,Revenue,2063420.16
456,20240701,4,6,Revenue,1281954.07
457,20240701,5,1,Revenue,1303667.89
458,20240701,5,2,Revenue,2422540.11
459,20240701,5,3,Revenue,663522.55
460,20240701,5,4,Revenue,1561706.42
461,20240701,5,5,Revenue,740275.07
462,20240701,5,6,Revenue,2083570.07
463,20240701,6,1,Revenue,2238669.75
464,20240701,6,2,Revenue,817506.34
465,20240701,6,3,Revenue,812812.4
466,20240701,6,4,Revenue,1863918.66
467,20240701,6,5,Revenue,1796540.39
468,20240701,6,6,Revenue,862365.74
469,20240701,7,1,Revenue,1016194.87
470,20240701,7,2,Revenue,1107321.68
471,20240701,7,3,Revenue,1660288.61
472,20240701,7,4,Revenue,1417736.75
473,20240701,7,5,Revenue,1800743.62
474,20240701,7,6,Revenue,1419249.82
475,20240701,8,1,Revenue,1375678.22
476,20240701,8,2,Revenue,1468305.83
477,20240701,8,3,Revenue,2288356.42
478,20240701,8,4,Revenue,2120309.41
479,20240701,8,5,Revenue,635834.84
480,20240701,8,6,Revenue,751141.59
481,20240701,9,1,Revenue,1919563.53
482,20240701,9,2,Revenue,2298818.33
483,20240701,9,3,Revenue,1551570.24
484,20240701,9,4,Revenue,1071041.66
485,20240701,9,5,Revenue,1627053.13
486,20240701,9,6,Revenue,1567004.33
487,20240701,10,1,Revenue,2362737.17
488,20240701,10,2,Revenue,741902.94
489,20240701,10,3,Revenue,2275324.26
490,20240701,10,4,Revenue,1574121.65
491,20240701,10,5,Revenue,1236291.55
492,20240701,10,6,Revenue,1659799.2
493,20240701,11,1,Revenue,807915.83
494,20240701,11,2,Revenue,1471169.54
495,20240701,11,3,Revenue,817500.13
496,20240701,11,4,Revenue,1588137.27
497,20240701,11,5,Revenue,876841.73
498,20240701,11,6,Revenue,788232.74
499,20240701,12,1,Revenue,1349742.21
500,20240701,12,2,Revenue,2080809.5
501,20240701,12,3,Revenue,1873823.77
502,20240701,12,4,Revenue,1389307.06
503,20240701,12,5,Revenue,928608.07
504,20240701,12,6,Revenue,1038644.09
505,20240801,1,1,Revenue,2009344.21
506,20240801,1,2,Revenue,1945820.38
507,20240801,1,3,Revenue,923139.89
508,20240801,1,4,Revenue,2175337.28
509,20240801,1,5,Revenue,2096916.54
510,20240801,1,6,Revenue,1502201.13
511,20240801,2,1,Revenue,1877744.72
512,20240801,2,2,Revenue,1658941.1
513,20240801,2,3,Revenue,2399896.37
514,20240801,2,4,Revenue,763758.66
515,20240801,2,5,Revenue,791836.34
516,20240801,2,6,Revenue,1811904.51
517,20240801,3,1,Revenue,2169571.69
518,20240801,3,2,Revenue,2356105.5
519,20240801,3,3,Revenue,2124484.96
520,20240801,3,4,Revenue,1980407.61
521,20240801,3,5,Revenue,2316414.65
522,20240801,3,6,Revenue,2242552.04
523,20240801,4,1,Revenue,2298949.9
524,20240801,4,2,Revenue,2051891.73
525,20240801,4,3,Revenue,2163444.95
526,20240801,4,4,Revenue,875686.48
527,20240801,4,5,Revenue,1406871.63
528,20240801,4,6,Revenue,1603499.73
529,20240801,5,1,Revenue,2223842.84
530,20240801,5,2,Revenue,1967703.21
531,20240801,5,3,Revenue,520779.7
532,20240801,5,4,Revenue,1782429.24
533,20240801,5,5,Revenue,673240.32
534,20240801,5,6,Revenue,1618011.9
535,20240801,6,1,Revenue,1055210.44
536,20240801,6,2,Revenue,2251118.73
537,20240801,6,3,Revenue,1362794.87
538,20240801,6,4,Revenue,598222.16
539,20240801,6,5,Revenue,2449731.49
540,20240801,6,6,Revenue,2040837.26
541,20240801,7,1,Revenue,861582.53
542,20240801,7,2,Revenue,1807187.79
543,20240801,7,3,Revenue,2213161.14
544,20240801,7,4,Revenue,1455725.45
545,20240801,7,5,Revenue,2014884.69
546,20240801,7,6,Revenue,1262537.42
547,20240801,8,1,Revenue,903713.59
548,20240801,8,2,Revenue,1850338.43
549,20240801,8,3,Revenue,2499938.82
550,20240801,8,4,Revenue,2332496.87
551,20240801,8,5,Revenue,648282.59
552,20240801,8,6,Revenue,660361.53
553,20240801,9,1,Revenue,564465.12
554,20240801,9,2,Revenue,2446106.05
555,20240801,9,3,Revenue,1806689.09
556,20240801,9,4,Revenue,2093790.74
557,20240801,9,5,Revenue,2168644.61
558,20240801,9,6,Revenue,651030.46
559,20240801,10,1,Revenue,2477958.21
560,20240801,10,2,Revenue,2264286.77
561,20240801,10,3,Revenue,1704248.64
562,20240801,10,4,Revenue,1949020.32
563,20240801,10,5,Revenue,1228767.63
564,20240801,10,6,Revenue,1222960.36
565,20240801,11,1,Revenue,2255436.9
566,20240801,11,2,Revenue,1626612.22
567,20240801,11,3,Revenue,1200477.01
568,20240801,11,4,Revenue,1871615.14
569,20240801,11,5,Revenue,2175349.8
570,20240801,11,6,Revenue,776973.24
571,20240801,12,1,Revenue,1029005.71
572,20240801,12,2,Revenue,1057873.04
573,20240801,12,3,Revenue,2214105.29
574,20240801,12,4,Revenue,1496191.39
575,20240801,12,5,Revenue,2462357.55
576,20240801,12,6,Revenue,1177873.55
577,20240901,1,1,Revenue,1076025.86
578,20240901,1,2,Revenue,1612328.85
579,20240901,1,3,Revenue,1268338.44
580,20240901,1,4,Revenue,786623.07
581,20240901,1,5,Revenue,1725820.16
582,20240901,1,6,Revenue,717867.08
583,20240901,2,1,Revenue,997738.64
584,20240901,2,2,Revenue,1813413.75
585,20240901,2,3,Revenue,2227989.53
586,20240901,2,4,Revenue,1299333.2
587,20240901,2,5,Revenue,2208183.15
588,20240901,2,6,Revenue,1347624.49
589,20240901,3,1,Revenue,2212318.44
590,20240901,3,2,Revenue,1223082.11
591,20240901,3,3,Revenue,2391264.39
592,20240901,3,4,Revenue,2395177.07
593,20240901,3,5,Revenue,526840.32
594,20240901,3,6,Revenue,1254687.75
595,20240901,4,1,Revenue,796973.05
596,20240901,4,2,Revenue,1069986.69
597,20240901,4,3,Revenue,589042.46
598,20240901,4,4,Revenue,2448544.8
599,20240901,4,5,Revenue,2030588.59
600,20240901,4,6,Revenue,697160.12
601,20240901,5,1,Revenue,1663927.68
602,20240901,5,2,Revenue,892781.25
603,20240901,5,3,Revenue,513927.94
604,20240901,5,4,Revenue,1284035.2
605,20240901,5,5,Revenue,1957328.31
606,20240901,5,6,Revenue,619768.44
607,20240901,6,1,Revenue,550940.55
608,20240901,6,2,Revenue,1286501.2
609,20240901,6,3,Revenue,1613989.4
610,20240901,6,4,Revenue,1440278.78
611,20240901,6,5,Revenue,1949113.55
612,20240901,6,6,Revenue,2420781.51
613,20240901,7,1,Revenue,1017989.51
614,20240901,7,2,Revenue,2348516.03
615,20240901,7,3,Revenue,1416323.22
616,20240901,7,4,Revenue,1744778.64
617,20240901,7,5,Revenue,935529.37
618,20240901,7,6,Revenue,569205.16
619,20240901,8,1,Revenue,1563879.1
620,20240901,8,2,Revenue,1082585.78
621,20240901,8,3,Revenue,1881581.74
622,20240901,8,4,Revenue,939083.6
623,20240901,8,5,Revenue,717263.35
624,20240901,8,6,Revenue,1317959.72
625,20240901,9,1,Revenue,1661453.76
626,20240901,9,2,Revenue,1967926.98
627,20240901,9,3,Revenue,1635165.06
628,20240901,9,4,Revenue,1486980.67
629,20240901,9,5,Revenue,768126.8
630,20240901,9,6,Revenue,695497.26
631,20240901,10,1,Revenue,1769912.09
632,20240901,10,2,Revenue,1946465.57
633,20240901,10,3,Revenue,586394.53
634,20240901,10,4,Revenue,1474639.79
635,20240901,10,5,Revenue,1630333.07
636,20240901,10,6,Revenue,2140183.03
637,20240901,11,1,Revenue,1234870.53
638,20240901,11,2,Revenue,1711471.57
639,20240901,11,3,Revenue,1657544.23
640,20240901,11,4,Revenue,2086759.66
641,20240901,11,5,Revenue,2304624.14
642,20240901,11,6,Revenue,1397743.68
643,20240901,12,1,Revenue,696754.09
644,20240901,12,2,Revenue,2381843.77
645,20240901,12,3,Revenue,2459473.99
646,20240901,12,4,Revenue,718814.5
647,20240901,12,5,Revenue,1870995.66
648,20240901,12,6,Revenue,2100339.2
649,20241001,1,1,Revenue,2318542.74
650,20241001,1,2,Revenue,1847757.77
651,20241001,1,3,Revenue,1091523.67
652,20241001,1,4,Revenue,933006.2
653,20241001,1,5,Revenue,866387.87
654,20241001,1,6,Revenue,1164456.72
655,20241001,2,1,Revenue,1356851.07
656,20241001,2,2,Revenue,1783832.82
657,20241001,2,3,Revenue,1055996.98
658,20241001,2,4,Revenue,520953.12
659,20241001,2,5,Revenue,1604874.76
660,20241001,2,6,Revenue,2066793.01
661,20241001,3,1,Revenue,1623385.5
662,20241001,3,2,Revenue,792631.59
663,20241001,3,3,Revenue,2284556.6
664,20241001,3,4,Revenue,642499.09
665,20241001,3,5,Revenue,2259859.73
666,20241001,3,6,Revenue,2413917.81
667,20241001,4,1,Revenue,1487703.54
668,20241001,4,2,Revenue,1124098.26
669,20241001,4,3,Revenue,1061736.51
670,20241001,4,4,Revenue,574054.63
671,20241001,4,5,Revenue,584140.95
672,20241001,4,6,Revenue,554923.21
