return_key,date_key,sales_key,order_key,customer_key,product_key,location_key,return_quantity,return_amount,return_reason
41,20251110,607,201,327,91,10,6,9875.75,Duplicate Order
42,20250721,621,204,661,61,4,2,7097.91,Damaged
43,20250804,631,209,669,181,12,1,4568.98,Customer Changed Mind
44,20250518,642,213,693,49,3,3,8597.05,Damaged
45,20240417,670,221,499,49,3,2,8062.76,Incorrect Product
46,20251028,686,225,754,157,7,1,1512.8,Incorrect Product
47,20240323,692,229,195,148,3,1,1039.02,Customer Changed Mind
48,20250603,754,256,801,175,8,1,8026.28,Customer Changed Mind
49,20250607,763,258,111,132,3,2,12151.21,Duplicate Order
50,20250323,764,259,649,109,7,7,53305.56,Damaged
51,20240722,780,264,215,141,7,3,8771.24,Incorrect Product
52,20241229,796,273,310,73,11,3,17273.47,Duplicate Order
53,20240427,815,278,353,113,6,3,460.91,Damaged
54,20240427,819,278,353,123,6,2,12458.84,Customer Changed Mind
55,20240602,880,296,304,191,7,3,20035.48,Damaged
56,20250125,932,315,560,89,7,2,16429.32,Duplicate Order
57,20250702,942,320,327,36,10,2,4462.7,Damaged
58,20240707,947,321,982,84,7,1,4049.45,Duplicate Order
59,20241223,963,325,879,76,3,3,10433.69,Duplicate Order
60,20240323,1024,347,95,186,5,4,32822.86,Incorrect Product
61,20241011,1043,353,313,127,4,6,10769.57,Incorrect Product
62,20250731,1076,362,954,200,8,5,19896.51,Incorrect Product
63,20241003,1082,363,120,159,11,2,5318.35,Incorrect Product
64,20241006,1094,367,904,193,11,4,18309.02,Customer Changed Mind
65,20240404,1109,371,493,67,7,1,1146.15,Duplicate Order
66,20250608,1116,373,592,188,9,5,16367.89,Incorrect Product
67,20240621,1148,383,473,184,7,2,11682.4,Incorrect Product
68,20241123,1166,388,541,150,1,6,49859.08,Damaged
69,20250701,1169,390,803,131,9,1,3390.29,Damaged
70,20240817,1177,395,968,105,4,2,10492.65,Quality Issue
71,20250414,1181,396,355,62,2,2,924.45,Incorrect Product
72,20250512,1183,397,919,77,8,2,10229.77,Incorrect Product
73,20251102,1187,398,748,132,9,2,16528.62,Duplicate Order
74,20241222,1198,403,673,30,8,3,29842.95,Incorrect Product
75,20250325,1213,410,681,105,3,1,4404.94,Quality Issue
76,20250924,1218,411,408,189,2,5,8891.06,Duplicate Order
77,20250924,1219,411,408,70,2,5,9327.25,Incorrect Product
78,20250809,1254,423,365,138,4,4,4800.32,Duplicate Order
79,20241119,1256,424,903,78,5,1,7501.22,Incorrect Product
80,20241119,1260,424,903,143,5,4,28170.55,Incorrect Product
81,20240411,1261,425,52,109,2,4,21237.21,Damaged
82,20241122,1280,432,822,19,2,3,17080.28,Incorrect Product
83,20250421,1288,435,806,130,9,1,7405.34,Incorrect Product
84,20240112,1314,442,251,81,8,2,2114.16,Duplicate Order
85,20240112,1316,442,251,50,8,1,993.17,Customer Changed Mind
86,20250819,1332,446,276,142,12,2,8603.11,Incorrect Product
87,20250927,1345,450,509,68,6,6,6534.81,Duplicate Order
88,20240809,1380,467,184,80,4,7,43715.89,Incorrect Product
89,20250821,1386,469,86,165,7,5,27368.57,Customer Changed Mind
90,20251031,1426,484,3,67,10,1,1259.93,Incorrect Product
91,20251206,1442,488,483,70,10,1,2647.5,Damaged
92,20240822,1456,495,651,82,5,1,987.16,Quality Issue
93,20240425,1470,499,553,3,4,2,2126.0,Customer Changed Mind
94,20240610,1483,503,625,185,1,2,15833.12,Customer Changed Mind
95,20250710,1497,508,28,76,1,2,6822.11,Quality Issue
96,20250413,1505,510,557,142,8,5,18295.67,Duplicate Order
97,20240830,1516,514,240,7,10,2,288.07,Duplicate Order
98,20250603,1522,515,855,149,2,1,1537.13,Quality Issue
99,20241001,1556,525,152,170,2,2,1748.96,Customer Changed Mind
100,20250603,1559,526,511,122,8,3,13525.91,Duplicate Order
101,20241213,1567,531,261,125,2,2,15524.56,Duplicate Order
102,20250711,1581,535,791,180,7,1,1445.62,Customer Changed Mind
103,20240519,1624,550,38,184,7,6,36424.01,Incorrect Product
104,20240521,1634,552,549,63,4,1,6364.18,Customer Changed Mind
105,20240720,1639,553,660,62,1,1,467.05,Duplicate Order
106,20251121,1662,560,325,76,8,2,7462.31,Quality Issue
107,20251020,1674,564,525,132,6,1,9090.24,Customer Changed Mind
108,20240312,1677,566,134,94,6,4,6325.05,Damaged
109,20250104,1698,571,737,13,11,7,66451.98,Quality Issue
110,20250710,1703,572,922,162,9,6,13006.04,Customer Changed Mind
111,20250221,1708,573,227,119,10,2,6327.74,Quality Issue
112,20250215,1714,575,70,174,9,1,2560.22,Customer Changed Mind
113,20251229,1751,586,346,191,4,1,5758.34,Quality Issue
114,20240125,1771,593,781,40,3,3,22218.49,Customer Changed Mind
115,20250604,1782,596,785,36,9,4,9880.03,Quality Issue
116,20250919,1786,598,605,62,6,2,1207.69,Duplicate Order
117,20250919,1789,598,605,71,6,2,3875.93,Duplicate Order
118,20240101,1801,602,619,89,4,6,43585.88,Duplicate Order
119,20241016,1819,609,937,188,11,4,11918.35,Incorrect Product
120,20251120,1874,625,342,50,4,5,5839.95,Customer Changed Mind
121,20240210,1881,627,245,82,5,2,2277.12,Incorrect Product
122,20250315,1893,630,182,8,12,2,10750.78,Quality Issue
123,20250519,1903,632,800,141,1,5,9239.3,Quality Issue
124,20250130,1922,637,301,179,9,4,19527.18,Damaged
125,20250317,1931,640,334,59,11,3,6344.83,Quality Issue
126,20240923,1974,656,16,86,12,2,12404.98,Duplicate Order
127,20250525,1976,657,429,178,8,2,11548.92,Customer Changed Mind
128,20240507,2016,668,802,28,3,1,312.97,Customer Changed Mind
129,20240416,2037,675,824,173,3,1,4140.59,Quality Issue
130,20250923,2040,676,302,139,4,2,9373.09,Damaged
131,20240706,2088,693,907,139,4,2,10170.71,Quality Issue
132,20250817,2125,705,803,69,7,1,4397.52,Customer Changed Mind
133,20251101,2129,706,304,71,5,4,10875.5,Incorrect Product
134,20250118,2135,709,757,72,3,1,5218.27,Duplicate Order
135,20251109,2136,710,631,77,8,2,11796.07,Quality Issue
136,20250912,2142,711,979,23,3,1,1514.29,Duplicate Order
137,20240103,2148,714,603,166,2,3,18609.37,Customer Changed Mind
138,20240215,2159,716,977,40,9,1,7282.82,Quality Issue
139,20251213,2189,727,651,181,8,2,12389.9,Customer Changed Mind
140,20250915,2206,731,710,120,6,5,3456.14,Customer Changed Mind
141,20250820,2222,737,41,5,2,1,3636.09,Duplicate Order
142,20250813,2261,752,234,60,10,6,7309.62,Duplicate Order
143,20240522,2271,756,662,78,9,2,9760.22,Damaged
144,20240502,2282,761,278,111,4,1,4236.66,Duplicate Order
145,20240322,2292,764,540,40,3,4,24115.23,Incorrect Product
146,20241123,2322,773,777,1,9,3,13267.63,Incorrect Product
147,20250425,2350,781,635,15,2,1,5498.63,Customer Changed Mind
148,20250605,2363,785,662,174,10,2,3549.85,Incorrect Product
149,20240324,2380,790,78,109,2,3,17939.06,Incorrect Product
150,20240804,2386,793,369,41,9,3,12001.14,Duplicate Order
151,20250323,2401,797,281,1,1,3,11031.31,Customer Changed Mind
152,20250323,2404,797,281,185,1,1,8246.13,Quality Issue
153,20241029,2429,805,122,121,7,2,3977.18,Incorrect Product
154,20241029,2430,805,122,171,7,3,2807.03,Customer Changed Mind
155,20241223,2444,808,539,67,9,2,2320.07,Duplicate Order
156,20240813,2459,816,64,80,8,3,19128.92,Damaged
157,20240813,2460,816,64,188,8,4,11171.26,Incorrect Product
158,20240522,2465,819,779,176,1,4,8047.65,Quality Issue
159,20240201,2467,820,272,107,7,5,11282.93,Customer Changed Mind
160,20250906,2496,829,553,122,1,5,23654.98,Duplicate Order
161,20240615,2511,832,291,167,11,7,3539.02,Incorrect Product
162,20240412,2531,840,720,5,2,6,20579.51,Damaged
163,20240816,2537,843,506,152,6,2,9532.5,Incorrect Product
164,20250519,2550,847,801,142,11,4,20882.06,Damaged
165,20240409,2635,875,336,170,12,3,2629.38,Duplicate Order
166,20241112,2649,880,785,62,11,1,636.13,Incorrect Product
167,20250202,2669,887,129,16,9,1,2989.98,Incorrect Product
168,20240108,2678,891,816,3,6,2,2462.98,Damaged
169,20240927,2686,893,500,112,12,1,6223.96,Customer Changed Mind
170,20250314,2756,918,55,55,10,4,3914.94,Incorrect Product
171,20250728,2779,927,883,186,9,1,9034.59,Customer Changed Mind
172,20241115,2783,929,981,9,4,3,14244.26,Duplicate Order
173,20240801,2788,930,94,92,6,2,523.3,Customer Changed Mind
174,20240110,2826,942,772,123,8,5,27876.57,Damaged
175,20241113,2836,944,319,36,7,5,17671.52,Customer Changed Mind
176,20251010,2878,957,380,126,4,2,17252.46,Duplicate Order
177,20251010,2879,957,380,190,4,1,2613.11,Quality Issue
178,20251010,2882,957,380,90,4,1,1349.95,Damaged
179,20250812,2935,977,765,94,10,5,9412.49,Customer Changed Mind
180,20250626,2956,983,775,1,8,4,17440.85,Damaged
181,20250506,2987,992,330,65,1,2,4583.96,Incorrect Product
182,20250307,3002,996,192,135,4,1,4075.52,Quality Issue
183,20251007,3008,997,25,162,7,1,2323.43,Quality Issue
184,20250119,3023,1003,943,151,8,1,9166.34,Damaged
185,20250213,3056,1014,760,85,2,1,442.06,Quality Issue
186,20240720,3081,1025,122,94,7,1,1490.07,Quality Issue
187,20240720,3082,1025,122,6,7,2,6980.36,Customer Changed Mind
188,20250311,3089,1028,972,167,5,4,1814.9,Incorrect Product
189,20240401,3094,1029,917,8,10,3,21380.76,Quality Issue
190,20240829,3099,1032,97,109,1,3,20179.55,Customer Changed Mind
191,20250304,3105,1033,412,64,12,2,6220.96,Damaged
192,20250120,3133,1043,493,80,9,1,6994.47,Damaged
193,20240127,3135,1044,951,164,10,1,6115.54,Incorrect Product
194,20240429,3143,1048,665,142,10,5,23147.21,Duplicate Order
195,20250323,3158,1053,354,129,11,1,4982.04,Quality Issue
196,20250119,3171,1057,955,84,8,3,12010.57,Customer Changed Mind
197,20251128,3184,1060,783,91,2,2,4183.38,Customer Changed Mind
198,20241218,3197,1065,874,129,1,1,5365.31,Damaged
199,20251105,3199,1066,289,190,1,2,4416.09,Customer Changed Mind
200,20251105,3203,1066,289,139,1,2,13210.84,Duplicate Order
201,20250214,3215,1071,321,123,2,2,11316.39,Duplicate Order
202,20251004,3242,1081,999,164,8,4,30799.62,Duplicate Order
203,20250419,3255,1087,608,36,11,1,3028.29,Damaged
204,20240629,3264,1089,155,68,11,6,5958.42,Duplicate Order
205,20240220,3294,1102,138,200,11,1,4028.7,Incorrect Product
206,20250901,3305,1104,319,72,1,7,40916.61,Customer Changed Mind
207,20250819,3325,1111,479,114,11,6,6372.01,Incorrect Product
208,20241028,3328,1113,886,100,8,2,1300.99,Customer Changed Mind
209,20241028,3329,1113,886,32,8,6,28534.83,Duplicate Order
210,20240703,3335,1116,167,95,5,4,14048.03,Customer Changed Mind
211,20251001,3338,1117,207,40,4,5,39854.78,Damaged
212,20250327,3384,1131,236,69,2,1,3306.92,Customer Changed Mind
213,20240321,3439,1147,282,107,5,6,11747.75,Customer Changed Mind
214,20241021,3442,1148,618,26,8,3,9113.06,Customer Changed Mind
215,20241021,3443,1148,618,160,8,1,2988.94,Incorrect Product
216,20240909,3447,1149,661,176,3,2,4581.95,Customer Changed Mind
217,20240304,3460,1154,823,66,2,4,17813.41,Quality Issue
218,20250520,3471,1157,430,34,9,1,300.57,Incorrect Product
219,20240225,3514,1170,315,60,10,2,1599.59,Quality Issue
220,20240420,3518,1171,631,150,3,3,17097.58,Incorrect Product
221,20251224,3525,1173,103,32,12,4,18525.46,Damaged
222,20240828,3528,1174,902,134,1,1,4698.08,Damaged
223,20240828,3531,1174,902,27,1,4,15010.92,Quality Issue
224,20240106,3538,1178,734,96,12,3,13886.31,Duplicate Order
225,20250310,3540,1179,272,17,5,3,9150.06,Customer Changed Mind
226,20250511,3577,1194,12,170,3,1,892.39,Customer Changed Mind
227,20250212,3608,1204,178,152,12,1,4972.08,Incorrect Product
228,20240122,3614,1207,612,84,5,4,14260.13,Damaged
229,20240122,3615,1207,612,118,5,3,21873.34,Customer Changed Mind
230,20251116,3637,1214,720,38,4,2,14350.36,Damaged
231,20240123,3643,1217,204,28,10,3,1280.87,Duplicate Order
232,20241011,3692,1235,815,109,12,3,23734.76,Duplicate Order
233,20241208,3723,1247,905,198,11,2,10029.46,Damaged
234,20240811,3786,1275,240,82,10,5,4038.41,Quality Issue
235,20240601,3797,1278,65,41,5,1,3518.86,Customer Changed Mind
236,20250608,3847,1294,957,175,5,3,29392.56,Quality Issue
237,20240905,3856,1297,287,90,5,1,1377.76,Quality Issue
238,20241013,3861,1298,749,165,10,1,7426.15,Damaged
239,20250916,3870,1300,448,153,10,2,466.6,Customer Changed Mind
240,20241029,3875,1302,661,85,10,1,472.67,Incorrect Product
241,20251210,3879,1303,914,157,1,1,1347.12,Incorrect Product
242,20250416,3892,1308,84,19,1,2,7457.92,Incorrect Product
243,20240122,3900,1311,881,157,5,3,3977.08,Quality Issue
244,20240122,3904,1311,881,61,5,3,12672.53,Damaged
245,20250626,3911,1313,818,124,12,1,4028.51,Damaged
246,20241205,3924,1319,817,63,2,2,19535.23,Duplicate Order
247,20251102,3957,1330,527,22,7,3,14531.94,Duplicate Order
248,20250115,3985,1342,182,14,2,3,9117.87,Damaged
249,20240321,3999,1346,948,183,4,1,5842.22,Quality Issue
250,20251225,4011,1351,571,179,11,6,27169.51,Duplicate Order
251,20241112,4017,1352,995,136,3,2,5891.69,Duplicate Order
252,20240320,4024,1354,802,75,11,4,29138.89,Incorrect Product
253,20241003,4037,1357,764,45,3,1,5659.38,Customer Changed Mind
254,20250904,4042,1358,626,12,9,1,2691.72,Customer Changed Mind
255,20250320,4089,1373,692,1,11,1,3595.95,Duplicate Order
256,20241216,4144,1394,465,1,4,6,26138.19,Quality Issue
257,20240627,4156,1399,605,78,9,7,39196.25,Customer Changed Mind
258,20240724,4180,1405,652,159,12,2,5037.96,Incorrect Product
259,20251011,4253,1427,452,23,4,3,5515.51,Damaged
260,20250921,4270,1434,165,170,1,1,797.09,Quality Issue
261,20240812,4291,1440,29,123,4,1,5282.37,Quality Issue
262,20240812,4311,1446,455,124,7,4,17194.92,Customer Changed Mind
263,20240812,4313,1446,455,101,7,3,16447.88,Incorrect Product
264,20251011,4318,1447,176,43,5,1,5152.41,Duplicate Order
265,20240823,4323,1450,669,142,10,2,8522.87,Customer Changed Mind
266,20240823,4325,1450,669,190,10,2,3528.25,Quality Issue
267,20241009,4331,1452,486,91,5,2,3166.37,Duplicate Order
268,20250822,4335,1454,75,199,4,1,5128.22,Customer Changed Mind
269,20250616,4345,1457,297,18,4,5,11141.47,Quality Issue
270,20240423,4353,1459,664,155,5,3,11848.23,Quality Issue
271,20250713,4357,1462,209,153,8,1,254.92,Damaged
272,20250801,4364,1464,701,117,11,1,1846.78,Customer Changed Mind
273,20250801,4367,1464,701,49,11,5,14733.69,Damaged
274,20241020,4372,1466,697,168,1,4,9496.31,Quality Issue
275,20250629,4409,1477,147,69,7,6,22969.68,Customer Changed Mind
276,20240202,4450,1490,950,181,6,2,12005.12,Customer Changed Mind
277,20240815,4473,1497,529,37,5,1,1922.22,Incorrect Product
278,20240728,4491,1502,695,16,1,1,2188.76,Customer Changed Mind
279,20240104,4504,1505,71,16,9,5,13612.75,Incorrect Product
280,20250718,4527,1511,355,31,4,2,13719.99,Duplicate Order
281,20240103,4532,1512,255,123,3,7,37092.69,Damaged
282,20240629,4544,1516,697,40,2,6,41679.8,Damaged
283,20250424,4567,1522,842,141,8,1,2117.42,Incorrect Product
284,20250424,4569,1522,842,130,8,3,18388.51,Customer Changed Mind
285,20240827,4575,1524,531,127,2,1,1548.19,Damaged
286,20251012,4590,1528,927,72,6,3,17829.27,Damaged
287,20241118,4606,1533,35,172,4,3,13840.73,Quality Issue
288,20240924,4608,1534,205,65,6,3,5854.92,Customer Changed Mind
289,20240721,4636,1544,953,73,2,2,10239.13,Customer Changed Mind
290,20240418,4644,1547,843,65,6,2,5002.88,Damaged
291,20240531,4662,1555,129,177,2,3,22783.0,Quality Issue
292,20250506,4670,1556,301,93,10,1,475.26,Damaged
293,20250313,4698,1566,338,171,11,3,2119.82,Damaged
294,20241211,4708,1569,634,172,4,1,4069.79,Incorrect Product
295,20240810,4714,1571,927,7,6,1,151.85,Quality Issue
296,20240810,4717,1571,927,160,6,3,9283.24,Quality Issue
297,20240123,4756,1584,366,92,9,1,311.17,Customer Changed Mind
298,20240805,4812,1602,230,155,10,1,3182.4,Customer Changed Mind
299,20250129,4830,1607,605,119,3,1,2828.49,Incorrect Product
300,20241031,4859,1616,888,77,4,2,10634.09,Incorrect Product
301,20240211,4866,1620,960,69,1,3,10702.15,Quality Issue
302,20240604,4875,1622,181,97,1,3,9361.56,Damaged
303,20251030,4881,1623,36,132,2,3,22503.94,Duplicate Order
304,20240603,4921,1634,607,57,9,2,6105.13,Quality Issue
305,20240920,4941,1642,792,6,10,4,11659.26,Duplicate Order
306,20250727,4964,1651,909,112,2,5,28464.53,Duplicate Order
307,20251003,4986,1659,123,92,4,1,334.94,Quality Issue
308,20240208,4990,1660,934,63,1,1,7855.67,Customer Changed Mind
309,20251225,5002,1665,480,95,4,2,10666.84,Quality Issue
310,20240911,5024,1674,596,131,4,1,4020.27,Duplicate Order
311,20251127,5031,1676,799,130,10,7,50646.14,Quality Issue
312,20240913,5042,1679,450,84,8,4,17046.63,Quality Issue
313,20250131,5074,1688,781,105,1,1,4219.27,Duplicate Order
314,20240204,5100,1696,255,88,9,1,4286.28,Incorrect Product
315,20250607,5161,1721,705,60,12,1,890.94,Customer Changed Mind
316,20250914,5183,1730,707,156,8,4,13170.76,Damaged
317,20250914,5184,1730,707,95,8,1,4300.38,Damaged
318,20250509,5223,1745,646,130,6,5,32598.69,Duplicate Order
319,20250723,5238,1751,879,49,1,3,9990.75,Customer Changed Mind
320,20250723,5242,1751,879,45,1,1,5433.74,Customer Changed Mind
321,20250613,5303,1776,495,13,4,3,28003.16,Quality Issue
322,20250613,5304,1776,495,54,4,3,10156.34,Quality Issue
323,20241118,5319,1780,953,152,5,2,12036.62,Incorrect Product
324,20240603,5328,1782,550,130,2,1,5427.52,Duplicate Order
325,20241204,5331,1783,682,115,8,2,12686.24,Damaged
326,20250108,5351,1788,15,88,11,2,6672.0,Quality Issue
327,20240111,5353,1789,465,149,10,2,2666.58,Customer Changed Mind
328,20250608,5362,1792,337,96,11,7,26757.87,Duplicate Order
329,20250921,5373,1795,962,69,1,1,4312.8,Customer Changed Mind
330,20250711,5378,1797,553,113,12,3,427.85,Duplicate Order
331,20240420,5451,1821,287,65,3,2,5687.35,Duplicate Order
332,20240903,5501,1836,175,154,8,1,2219.43,Customer Changed Mind
333,20250428,5536,1847,448,73,1,1,5590.04,Damaged
334,20250802,5543,1850,274,30,4,1,7371.41,Damaged
335,20241225,5549,1852,126,166,5,3,21033.34,Duplicate Order
336,20251108,5612,1877,325,51,9,1,4043.73,Customer Changed Mind
337,20240912,5615,1878,44,37,10,1,1717.88,Customer Changed Mind
338,20240107,5633,1885,648,112,12,1,5104.54,Quality Issue
339,20240107,5637,1885,648,96,12,2,8766.54,Customer Changed Mind
340,20240327,5656,1891,756,11,10,1,6391.04,Incorrect Product
341,20250422,5657,1892,426,180,1,7,15620.89,Quality Issue
342,20240112,5685,1899,955,1,8,2,10214.37,Quality Issue
343,20240531,5701,1904,704,185,7,5,31156.34,Quality Issue
344,20251004,5758,1925,587,187,9,1,6685.4,Damaged
345,20250610,5773,1929,420,30,5,2,13869.22,Damaged
346,20241110,5776,1930,83,179,7,1,5462.08,Incorrect Product
347,20241110,5777,1930,83,76,7,3,10730.55,Damaged
348,20240814,5782,1931,492,189,4,1,1958.65,Quality Issue
349,20240227,5792,1935,626,56,9,7,39197.63,Duplicate Order
350,20250407,5810,1941,720,196,11,1,2591.15,Damaged
351,20240123,5831,1948,610,94,11,5,10313.92,Quality Issue
352,20250612,5841,1950,142,178,6,3,17831.09,Quality Issue
353,20250202,5847,1952,497,192,3,6,28433.36,Customer Changed Mind
354,20250202,5848,1952,497,122,3,5,21453.3,Duplicate Order
355,20250409,5873,1959,101,9,9,2,7453.95,Duplicate Order
356,20250409,5875,1959,101,160,9,4,10742.63,Incorrect Product
357,20250409,5877,1959,101,180,9,2,3730.05,Quality Issue
358,20250727,5891,1965,251,102,8,1,6878.89,Customer Changed Mind
359,20240731,5913,1970,746,113,5,6,1304.32,Quality Issue
360,20250804,5929,1978,501,164,7,1,7606.24,Quality Issue
361,20240725,5936,1980,101,46,12,1,431.37,Quality Issue
362,20250414,5944,1984,676,94,8,5,7720.78,Incorrect Product
363,20250110,5949,1985,132,176,1,3,8063.21,Customer Changed Mind
364,20240131,5959,1989,391,78,7,1,5786.37,Quality Issue
365,20251012,5966,1991,371,25,8,3,6772.16,Quality Issue
366,20250106,5971,1992,41,200,1,1,3878.26,Incorrect Product
367,20250530,5981,1996,825,115,9,4,20926.47,Duplicate Order
368,20240223,5998,1999,176,186,1,2,13451.08,Duplicate Order
369,20250105,6013,2003,924,86,10,1,6691.28,Quality Issue
370,20240925,6024,2006,277,182,11,1,2642.14,Duplicate Order
371,20241120,6037,2009,659,152,8,2,13085.49,Incorrect Product
372,20251010,6083,2025,357,149,12,1,1465.03,Damaged
373,20250509,6089,2026,886,48,8,1,6337.0,Quality Issue
374,20240106,6092,2027,264,138,6,2,2609.91,Incorrect Product
375,20250216,6109,2034,419,169,9,1,3120.99,Incorrect Product
376,20240104,6117,2035,671,108,7,1,7188.03,Quality Issue
377,20250329,6124,2038,407,45,12,1,5557.9,Damaged
378,20241207,6133,2040,278,55,10,1,1165.99,Damaged
379,20240927,6137,2042,370,39,11,3,14703.19,Duplicate Order
380,20250820,6155,2047,973,49,3,1,3612.88,Quality Issue
381,20250820,6156,2047,973,130,3,1,6764.66,Incorrect Product
382,20250608,6197,2062,999,129,12,4,17536.66,Incorrect Product
383,20241207,6203,2065,916,61,2,5,24339.99,Duplicate Order
384,20240614,6222,2071,573,160,2,4,9324.79,Incorrect Product
385,20240304,6239,2075,615,182,9,1,3288.98,Customer Changed Mind
386,20250117,6271,2088,982,48,12,2,12155.74,Incorrect Product
387,20250708,6336,2105,919,61,8,1,4088.99,Damaged
388,20250530,6338,2106,817,122,12,2,6330.9,Duplicate Order
389,20240311,6359,2113,589,144,9,2,15118.81,Quality Issue
390,20250817,6364,2114,305,50,3,5,6687.35,Quality Issue
391,20241201,6368,2115,11,115,12,5,36688.42,Duplicate Order
392,20240810,6428,2132,655,182,6,4,15295.71,Quality Issue
393,20250630,6491,2155,360,154,4,6,11885.83,Incorrect Product
394,20240310,6500,2159,98,10,6,3,7334.4,Duplicate Order
395,20251027,6503,2160,22,73,11,2,11881.27,Damaged
396,20250107,6518,2166,833,180,8,7,11430.54,Damaged
397,20250529,6522,2167,707,44,11,1,6959.87,Damaged
398,20240907,6537,2174,461,89,11,4,37893.07,Duplicate Order
399,20240309,6553,2180,379,174,11,1,1947.94,Damaged
400,20240309,6555,2180,379,88,11,1,3010.48,Quality Issue
401,20240515,6564,2184,904,38,10,6,45130.2,Quality Issue
402,20250320,6581,2188,828,149,9,2,2567.54,Customer Changed Mind
403,20250702,6629,2207,949,162,7,1,1897.03,Duplicate Order
404,20250309,6639,2212,716,21,6,1,2908.6,Duplicate Order
405,20250309,6640,2212,716,31,6,3,19429.59,Duplicate Order
406,20250522,6682,2226,147,62,5,1,613.46,Damaged
407,20240902,6702,2231,761,24,12,1,4186.99,Customer Changed Mind
408,20241105,6705,2233,198,124,7,2,7692.95,Duplicate Order
409,20241230,6708,2234,695,176,7,2,5136.9,Damaged
410,20240517,6715,2237,723,187,12,1,6132.25,Customer Changed Mind
411,20250608,6741,2247,189,177,5,1,8236.9,Incorrect Product
412,20240523,6745,2248,948,27,9,4,12848.0,Quality Issue
413,20250402,6752,2251,878,196,5,1,2335.38,Duplicate Order
414,20250402,6753,2251,878,166,5,5,28157.55,Damaged
415,20250228,6803,2266,567,163,7,1,7333.26,Quality Issue
416,20241113,6821,2273,358,146,11,4,27275.66,Duplicate Order
417,20241210,6837,2279,467,101,2,6,34595.72,Duplicate Order
418,20251217,6846,2282,461,70,2,1,2333.31,Duplicate Order
419,20250610,6859,2285,501,6,6,4,12980.21,Incorrect Product
420,20240622,6873,2290,110,199,4,3,15794.46,Incorrect Product
421,20250609,6896,2297,139,44,8,2,17989.6,Incorrect Product
422,20240406,6903,2299,474,101,1,2,9511.21,Incorrect Product
423,20240808,6927,2309,530,175,8,4,27681.09,Quality Issue
424,20241228,6942,2314,283,10,9,1,2808.3,Duplicate Order
425,20240626,6952,2319,598,120,6,3,1776.96,Damaged
426,20250323,6954,2320,116,160,1,1,2128.84,Incorrect Product
427,20240611,7020,2342,852,109,10,2,12853.5,Customer Changed Mind
428,20241031,7028,2345,236,8,6,2,12901.22,Customer Changed Mind
429,20240704,7045,2351,258,186,2,1,7472.86,Damaged
430,20240704,7047,2351,258,125,2,2,14129.78,Incorrect Product
431,20250525,7055,2355,838,51,3,2,7261.58,Quality Issue
432,20241216,7067,2358,75,176,11,6,13955.95,Quality Issue
433,20251023,7070,2360,38,103,5,4,29258.34,Quality Issue
