sales_key,date_key,customer_key,product_key,employee_key,location_key,order_key,quantity,unit_price,gross_amount,discount_amount,net_amount,cost_amount,profit_amount,currency
66,20250515,785,2,18,3,23,1,8395.51,8395.51,365.72,8029.78,4431.21,3598.57,INR
67,20250515,785,21,18,3,23,6,3343.66,20061.97,1942.14,18119.83,13613.1,4506.73,INR
68,20250118,478,25,24,4,24,7,1909.7,13367.91,2121.69,11246.22,9479.4,1766.82,INR
69,20250118,478,49,24,4,24,6,4155.85,24935.11,1794.25,23140.86,15224.58,7916.28,INR
70,20250118,478,85,24,4,24,5,549.77,2748.83,233.38,2515.45,1228.2,1287.25,INR
71,20240605,922,173,64,3,25,6,4239.81,25438.87,2477.16,22961.71,22677.78,283.93,INR
72,20240605,922,102,64,3,25,6,5975.89,35855.33,6988.18,28867.15,23927.1,4940.05,INR
73,20240605,922,126,64,3,25,7,8146.34,57024.35,13660.5,43363.85,26549.6,16814.25,INR
74,20240605,922,36,64,3,25,3,2874.27,8622.81,1497.98,7124.83,5772.51,1352.32,INR
75,20240605,922,158,64,3,25,5,5239.63,26198.15,2612.04,23586.11,12607.2,10978.91,INR
76,20240820,670,93,63,7,26,1,710.52,710.52,64.61,645.91,447.37,198.54,INR
77,20250117,66,20,25,2,27,3,2142.21,6426.64,889.45,5537.19,3993.72,1543.47,INR
78,20250117,66,165,25,2,27,5,5754.37,28771.85,870.78,27901.07,15592.9,12308.17,INR
79,20250117,66,59,25,2,27,5,3012.63,15063.14,1199.75,13863.39,8250.85,5612.54,INR
80,20250117,66,186,25,2,27,6,10008.22,60049.3,8830.55,51218.75,25436.4,25782.35,INR
81,20240317,884,195,55,11,28,5,9851.9,49259.52,1073.88,48185.64,20064.3,28121.34,INR
82,20240317,884,21,55,11,28,1,3072.73,3072.73,31.42,3041.31,2268.85,772.46,INR
83,20240317,884,153,55,11,28,5,315.74,1578.71,25.46,1553.25,657.95,895.3,INR
84,20240317,884,139,55,11,28,3,7693.28,23079.84,2696.97,20382.87,12263.61,8119.26,INR
85,20241030,21,51,71,1,29,4,4536.27,18145.09,434.8,17710.29,8385.48,9324.81,INR
86,20241030,683,32,23,2,30,3,4444.4,13333.2,801.19,12532.01,7859.64,4672.37,INR
87,20250902,250,132,45,7,31,1,9521.09,9521.09,2306.46,7214.64,4371.29,2843.35,INR
88,20250902,250,26,45,7,31,3,3950.75,11852.24,2896.73,8955.51,7077.66,1877.85,INR
89,20250902,250,170,45,7,31,5,1142.03,5710.17,611.3,5098.88,3329.15,1769.73,INR
90,20250902,250,13,45,7,31,2,8698.94,17397.88,1154.59,16243.29,9298.72,6944.57,INR
91,20250902,250,79,45,7,31,5,4787.92,23939.62,1579.94,22359.68,21759.1,600.58,INR
92,20240331,898,170,29,2,32,5,953.03,4765.17,559.12,4206.05,3329.15,876.9,INR
93,20250908,730,35,95,7,33,2,1763.11,3526.23,29.61,3496.62,2811.68,684.94,INR
94,20250908,730,2,95,7,33,2,8292.78,16585.55,2087.24,14498.31,8862.42,5635.89,INR
95,20250908,730,153,95,7,33,6,284.43,1706.59,345.23,1361.36,789.54,571.82,INR
96,20241027,809,117,39,1,34,4,2288.38,9153.52,797.71,8355.81,6088.76,2267.05,INR
97,20241027,809,134,39,1,34,7,7350.58,51454.04,1745.74,49708.29,20913.27,28795.02,INR
98,20241027,809,191,39,1,34,6,5900.42,35402.52,5007.09,30395.43,26886.36,3509.07,INR
99,20241027,809,33,39,1,34,4,5044.85,20179.39,766.4,19412.99,12339.56,7073.43,INR
100,20250421,700,130,86,11,35,7,8551.34,59859.37,12745.77,47113.6,27731.9,19381.7,INR
101,20250421,700,17,86,11,35,6,3742.92,22457.52,952.68,21504.84,14403.84,7101.0,INR
102,20250421,700,181,86,11,35,7,4749.57,33247.0,2175.39,31071.61,17556.0,13515.61,INR
103,20250421,700,36,86,11,35,5,3504.0,17519.99,489.61,17030.38,9620.85,7409.53,INR
104,20250421,700,67,86,11,35,4,1323.62,5294.47,1262.58,4031.88,2061.6,1970.28,INR
105,20250211,568,52,89,8,36,3,7303.34,21910.02,1942.87,19967.15,11803.11,8164.04,INR
106,20250211,568,63,89,8,36,1,8556.25,8556.25,64.94,8491.3,4740.09,3751.21,INR
107,20240807,864,121,17,4,37,4,2143.73,8574.93,1813.22,6761.71,4120.0,2641.71,INR
108,20240807,864,112,17,4,37,7,6467.45,45272.13,7587.97,37684.17,20867.42,16816.75,INR
109,20240807,864,30,17,4,37,2,7657.08,15314.16,2413.8,12900.36,9375.38,3524.98,INR
110,20240807,864,79,17,4,37,1,5570.18,5570.18,549.76,5020.42,4351.82,668.6,INR
111,20251111,298,78,95,8,38,7,7806.55,54645.84,9372.77,45273.07,21570.99,23702.08,INR
112,20251111,298,34,95,8,38,7,369.86,2589.0,444.94,2144.07,1720.74,423.33,INR
113,20251111,298,174,95,8,38,7,2680.93,18766.52,1695.4,17071.12,8407.91,8663.21,INR
114,20251111,298,139,95,8,38,5,6678.33,33391.66,5920.24,27471.43,20439.35,7032.08,INR
115,20240613,529,128,5,7,39,6,456.32,2737.95,605.67,2132.28,1757.52,374.76,INR
116,20240613,529,50,5,7,39,1,1081.83,1081.83,177.97,903.85,801.42,102.43,INR
117,20240613,529,181,5,7,39,1,5545.57,5545.57,1358.44,4187.13,2508.0,1679.13,INR
118,20240613,529,53,5,7,39,2,1136.32,2272.63,449.45,1823.19,1506.82,316.37,INR
119,20240613,529,198,5,7,39,1,4782.79,4782.79,841.13,3941.66,1937.47,2004.19,INR
120,20240127,299,56,39,10,40,1,6870.18,6870.18,297.22,6572.96,3009.39,3563.57,INR
121,20240127,299,159,39,10,40,5,3302.86,16514.29,1101.74,15412.54,7309.2,8103.34,INR
122,20240127,299,199,39,10,40,5,5331.84,26659.21,930.86,25728.35,21902.55,3825.8,INR
123,20240127,299,89,39,10,40,3,8886.63,26659.9,5383.77,21276.13,13487.07,7789.06,INR
124,20250702,114,90,16,9,41,7,1364.63,9552.39,1774.98,7777.41,6611.5,1165.91,INR
125,20250702,114,37,16,9,41,2,1940.01,3880.03,265.07,3614.96,3346.44,268.52,INR
126,20250330,876,144,5,11,42,4,8762.85,35051.41,8580.88,26470.53,19019.84,7450.69,INR
127,20250330,876,129,5,11,42,5,5024.03,25120.14,3844.86,21275.27,14733.5,6541.77,INR
128,20250330,876,145,5,11,42,4,724.64,2898.54,241.33,2657.21,1255.84,1401.37,INR
129,20250330,876,99,5,11,42,2,4264.55,8529.1,401.13,8127.97,7265.08,862.89,INR
130,20250330,876,159,5,11,42,2,2356.7,4713.39,888.29,3825.1,2923.68,901.42,INR
131,20251012,498,14,56,11,43,1,3657.53,3657.53,819.18,2838.35,2757.59,80.76,INR
132,20251012,498,121,56,11,43,3,2479.35,7438.05,637.59,6800.46,3090.0,3710.46,INR
133,20251012,498,92,56,11,43,1,343.42,343.42,8.27,335.15,211.33,123.82,INR
134,20251012,498,23,56,11,43,1,2499.73,2499.73,403.44,2096.29,1541.93,554.36,INR
135,20251012,498,24,56,11,43,1,5872.25,5872.25,1451.32,4420.92,3416.17,1004.75,INR
136,20241130,54,168,61,2,44,2,3072.32,6144.64,1014.88,5129.76,3410.16,1719.6,INR
137,20241130,54,178,61,2,44,2,9073.17,18146.34,1287.54,16858.8,9600.0,7258.8,INR
138,20240113,826,3,59,10,45,4,1714.53,6858.13,804.87,6053.26,3223.28,2829.98,INR
139,20240113,826,163,59,10,45,2,7380.24,14760.49,2490.72,12269.77,6584.46,5685.31,INR
140,20240113,826,179,59,10,45,1,5518.59,5518.59,366.28,5152.31,2877.51,2274.8,INR
141,20240115,942,136,42,11,46,2,2057.85,4115.69,777.0,3338.69,3745.5,-406.81,INR
142,20240115,942,92,42,11,46,1,238.36,238.36,20.47,217.89,211.33,6.56,INR
143,20240115,942,140,42,11,46,3,987.89,2963.68,210.19,2753.49,1795.68,957.81,INR
144,20240115,942,2,42,11,46,1,7052.01,7052.01,1696.65,5355.37,4431.21,924.16,INR
145,20241112,662,71,79,3,47,5,3178.23,15891.15,2578.12,13313.03,6731.95,6581.08,INR
146,20241112,662,142,79,3,47,3,6047.32,18141.95,2896.56,15245.39,7903.8,7341.59,INR
147,20241112,662,18,79,3,47,6,2416.04,14496.25,2745.67,11750.59,8194.56,3556.03,INR
148,20241112,662,104,79,3,47,7,6555.9,45891.33,6275.33,39616.0,16900.52,22715.48,INR
149,20241112,662,103,79,3,47,7,7326.2,51283.39,224.36,51059.03,34622.07,16436.96,INR
150,20240701,328,67,50,10,48,4,1045.48,4181.91,860.5,3321.41,2061.6,1259.81,INR
151,20240701,328,88,50,10,48,2,4798.97,9597.94,2384.44,7213.5,5264.98,1948.52,INR
152,20240701,328,90,50,10,48,6,1667.57,10005.41,1871.83,8133.57,5667.0,2466.57,INR
153,20251105,860,30,54,8,49,7,11224.99,78574.92,3758.12,74816.81,32813.83,42002.98,INR
154,20251105,860,124,54,8,49,4,5631.33,22525.32,2116.35,20408.98,11806.28,8602.7,INR
155,20251105,860,188,54,8,49,1,4646.24,4646.24,413.89,4232.35,2002.41,2229.94,INR
156,20251105,860,14,54,8,49,2,4701.9,9403.8,1758.51,7645.29,5515.18,2130.11,INR
157,20240327,739,85,45,8,50,4,412.16,1648.65,186.47,1462.18,982.56,479.62,INR
158,20240327,739,55,45,8,50,3,1042.29,3126.86,154.95,2971.91,1860.51,1111.4,INR
159,20240327,739,106,45,8,50,6,4218.05,25308.31,1963.71,23344.6,15786.84,7557.76,INR
160,20240327,739,68,45,8,50,2,1085.92,2171.84,463.9,1707.94,1451.06,256.88,INR
161,20251005,285,188,21,9,51,5,4515.85,22579.25,3484.21,19095.04,10012.05,9082.99,INR
162,20251005,285,132,21,9,51,3,9866.45,29599.34,5962.29,23637.05,13113.87,10523.18,INR
163,20240607,331,48,66,5,52,4,7664.14,30656.55,2526.57,28129.98,17896.12,10233.86,INR
164,20240607,331,160,66,5,52,6,3362.07,20172.41,4826.86,15345.55,14072.46,1273.09,INR
165,20240328,988,75,83,11,53,4,6636.48,26545.94,4348.81,22197.12,14026.72,8170.4,INR
166,20240328,988,181,83,11,53,2,4522.73,9045.47,930.78,8114.68,5016.0,3098.68,INR
167,20240328,988,193,83,11,53,7,3692.75,25849.24,5748.08,20101.16,16700.67,3400.49,INR
168,20240328,988,18,83,11,53,7,2260.59,15824.12,2234.72,13589.4,9560.32,4029.08,INR
169,20240328,988,5,83,11,53,6,3862.09,23172.52,5555.51,17617.01,15799.74,1817.27,INR
170,20240719,954,68,31,9,54,5,980.65,4903.25,977.66,3925.59,3627.65,297.94,INR
171,20240719,954,35,31,9,54,7,1519.61,10637.28,1364.69,9272.59,9840.88,-568.29,INR
172,20240719,954,34,31,9,54,1,305.07,305.07,5.03,300.04,245.82,54.22,INR
173,20240415,677,146,47,6,55,7,6164.27,43149.91,7131.71,36018.2,22606.29,13411.91,INR
174,20240415,677,30,47,6,55,4,7255.62,29022.48,3251.32,25771.17,18750.76,7020.41,INR
175,20241020,37,117,90,8,56,1,2729.03,2729.03,394.3,2334.73,1522.19,812.54,INR
176,20241020,37,46,90,8,56,6,528.3,3169.79,700.05,2469.75,1561.02,908.73,INR
177,20241020,37,188,90,8,56,4,4316.23,17264.92,4103.48,13161.44,8009.64,5151.8,INR
178,20240829,230,161,21,12,57,1,7668.1,7668.1,1519.33,6148.78,3407.64,2741.14,INR
179,20240829,230,139,21,12,57,3,6043.58,18130.75,2799.11,15331.65,12263.61,3068.04,INR
180,20250121,354,128,43,5,58,7,503.32,3523.27,409.19,3114.07,2050.44,1063.63,INR
181,20250127,536,163,27,11,59,6,7375.83,44255.0,3647.62,40607.38,19753.38,20854.0,INR
182,20250127,536,129,27,11,59,1,4956.63,4956.63,463.71,4492.93,2946.7,1546.23,INR
183,20250127,536,72,27,11,59,2,5836.63,11673.27,2201.93,9471.34,5385.66,4085.68,INR
184,20240101,868,101,35,1,60,3,5738.63,17215.9,3275.45,13940.45,12826.41,1114.04,INR
185,20240401,849,149,46,10,61,6,1303.41,7820.48,222.13,7598.35,6689.4,908.95,INR
186,20240401,849,97,46,10,61,5,3914.23,19571.15,2716.91,16854.24,9396.9,7457.34,INR
187,20240401,849,200,46,10,61,2,3824.13,7648.26,1071.47,6576.79,3993.68,2583.11,INR
188,20240401,849,98,46,10,61,1,766.06,766.06,100.15,665.91,392.23,273.68,INR
189,20240401,849,189,46,10,61,4,2823.55,11294.18,249.61,11044.57,4670.36,6374.21,INR
190,20240428,275,72,93,8,62,4,5863.42,23453.66,4591.6,18862.06,10771.32,8090.74,INR
191,20240428,275,32,93,8,62,2,4626.27,9252.54,162.06,9090.48,5239.76,3850.72,INR
192,20240428,275,87,93,8,62,6,4697.38,28184.31,6907.0,21277.3,14307.72,6969.58,INR
193,20240428,275,140,93,8,62,6,1154.11,6924.65,1281.45,5643.2,3591.36,2051.84,INR
194,20240428,275,4,93,8,62,3,1102.65,3307.96,399.19,2908.77,2225.85,682.92,INR
195,20240522,109,182,2,9,63,2,3788.11,7576.21,498.47,7077.74,4343.06,2734.68,INR
196,20240522,109,22,2,9,63,2,5703.62,11407.25,498.19,10909.05,5354.16,5554.89,INR
197,20240309,276,88,36,7,64,2,4011.16,8022.32,1318.39,6703.93,5264.98,1438.95,INR
198,20240309,276,130,36,7,64,2,6913.66,13827.32,2184.02,11643.31,7923.4,3719.91,INR
199,20240309,276,91,36,7,64,7,1817.41,12721.89,2287.41,10434.48,6397.72,4036.76,INR
200,20240309,276,79,36,7,64,3,5459.67,16379.0,325.87,16053.12,13055.46,2997.66,INR
201,20240817,236,175,87,6,65,2,9374.01,18748.02,3777.4,14970.62,8877.8,6092.82,INR
202,20240817,236,172,87,6,65,4,4618.75,18475.0,1526.31,16948.68,8341.84,8606.84,INR
203,20250205,899,107,9,2,66,2,2353.8,4707.59,1022.35,3685.24,3124.26,560.98,INR
204,20250205,899,129,9,2,66,5,4890.3,24451.48,2942.42,21509.06,14733.5,6775.56,INR
205,20250205,899,55,9,2,66,7,1234.75,8643.27,1961.28,6681.99,4341.19,2340.8,INR
206,20250205,899,133,9,2,66,1,3629.65,3629.65,203.85,3425.8,2981.76,444.04,INR
207,20240813,15,87,51,3,67,3,3815.88,11447.63,756.81,10690.82,7153.86,3536.96,INR
208,20240813,15,148,51,3,67,1,946.61,946.61,23.74,922.87,771.87,151.0,INR
209,20240813,15,136,51,3,67,4,2121.13,8484.52,1726.62,6757.9,7491.0,-733.1,INR
210,20240828,831,7,16,11,68,1,161.14,161.14,23.5,137.64,118.2,19.44,INR
211,20240828,831,166,16,11,68,2,6688.69,13377.37,2757.47,10619.9,9269.2,1350.7,INR
212,20240828,831,45,16,11,68,4,5609.05,22436.2,3388.54,19047.66,17165.84,1881.82,INR
213,20240828,831,62,16,11,68,1,756.47,756.47,166.29,590.18,484.41,105.77,INR
214,20241209,657,18,56,5,69,6,2398.64,14391.83,2150.42,12241.41,8194.56,4046.85,INR
215,20241209,657,99,56,5,69,6,6058.17,36348.99,4158.42,32190.57,21795.24,10395.33,INR
216,20241209,657,9,56,5,69,3,4591.08,13773.24,953.01,12820.23,8963.7,3856.53,INR
217,20241209,657,83,56,5,69,5,2051.88,10259.38,1256.6,9002.77,5194.9,3807.87,INR
218,20250204,106,2,72,2,70,5,8025.3,40126.48,9363.72,30762.76,22156.05,8606.71,INR
219,20240829,686,128,64,2,71,3,538.57,1615.71,68.09,1547.62,878.76,668.86,INR
220,20240829,686,60,64,2,71,3,915.81,2747.43,548.59,2198.83,2470.92,-272.09,INR
221,20240829,686,118,64,2,71,5,8221.32,41106.59,1189.25,39917.34,24371.1,15546.24,INR
222,20240829,686,28,64,2,71,6,429.58,2577.51,6.22,2571.28,1457.7,1113.58,INR
223,20240829,686,78,64,2,71,5,6885.73,34428.66,7677.19,26751.47,15407.85,11343.62,INR
224,20240611,581,45,57,4,72,7,5810.03,40670.23,6059.24,34610.98,30040.22,4570.76,INR
225,20240611,581,69,57,4,72,1,4248.73,4248.73,360.48,3888.26,2709.0,1179.26,INR
226,20241026,4,99,75,9,73,1,5080.22,5080.22,884.05,4196.17,3632.54,563.63,INR
227,20241026,4,46,75,9,73,3,460.58,1381.75,110.51,1271.24,780.51,490.73,INR
228,20241026,4,67,75,9,73,7,1321.22,9248.55,2228.82,7019.73,3607.8,3411.93,INR
229,20241026,4,149,75,9,73,5,1897.34,9486.7,2139.4,7347.31,5574.5,1772.81,INR
230,20240118,224,115,54,5,74,3,6721.12,20163.35,2559.17,17604.18,9007.2,8596.98,INR
231,20240118,224,145,54,5,74,4,789.07,3156.3,452.98,2703.32,1255.84,1447.48,INR
232,20240118,224,99,54,5,74,6,4756.75,28540.5,5658.26,22882.25,21795.24,1087.01,INR
233,20240118,224,80,54,5,74,5,8629.31,43146.54,6223.28,36923.25,21543.55,15379.7,INR
234,20241226,349,110,62,6,75,2,149.29,298.59,32.18,266.41,185.32,81.09,INR
235,20241226,349,9,62,6,75,3,4861.53,14584.58,744.87,13839.71,8963.7,4876.01,INR
236,20241226,349,171,62,6,75,3,887.62,2662.86,380.85,2282.01,1467.72,814.29,INR
237,20241226,349,74,62,6,75,6,5138.93,30833.59,1493.18,29340.41,23872.08,5468.33,INR
238,20251119,216,24,9,9,76,2,5445.57,10891.15,1785.17,9105.98,6832.34,2273.64,INR
239,20251119,216,89,9,9,76,7,10393.41,72753.87,14534.34,58219.52,31469.83,26749.69,INR
240,20251119,216,184,9,9,76,3,6789.91,20369.72,4780.09,15589.62,8686.8,6902.82,INR
241,20251119,216,77,9,9,76,4,6560.99,26243.94,703.17,25540.77,10252.0,15288.77,INR
242,20241017,579,94,3,8,77,3,1840.06,5520.19,370.82,5149.37,3092.04,2057.33,INR
243,20240320,616,172,17,1,78,4,4570.31,18281.25,2043.9,16237.36,8341.84,7895.52,INR
244,20240320,616,113,17,1,78,6,182.79,1096.77,127.56,969.21,624.78,344.43,INR
245,20240320,616,181,17,1,78,7,5480.98,38366.89,3767.12,34599.77,17556.0,17043.77,INR
246,20240320,616,117,17,1,78,6,2516.42,15098.55,2831.33,12267.22,9133.14,3134.08,INR
247,20250531,170,101,54,5,79,6,5918.04,35508.24,4160.51,31347.73,25652.82,5694.91,INR
248,20250531,170,28,54,5,79,6,382.39,2294.33,424.95,1869.38,1457.7,411.68,INR
249,20240402,124,63,40,9,80,2,7664.99,15329.97,326.13,15003.84,9480.18,5523.66,INR
250,20240402,124,109,40,9,80,6,7946.01,47676.07,2064.42,45611.65,20907.6,24704.05,INR
251,20240402,124,140,40,9,80,7,1130.35,7912.42,531.99,7380.43,4189.92,3190.51,INR
252,20240521,656,89,37,9,81,7,8579.01,60053.06,788.12,59264.94,31469.83,27795.11,INR
253,20240417,470,146,45,5,82,3,5064.17,15192.5,3417.16,11775.34,9688.41,2086.93,INR
254,20240417,470,41,45,5,82,7,3849.41,26945.88,1594.92,25350.96,15400.21,9950.75,INR
255,20240417,470,135,45,5,82,4,5047.63,20190.53,705.23,19485.3,9035.76,10449.54,INR
256,20251007,266,44,99,3,83,1,8242.03,8242.03,781.34,7460.69,3862.43,3598.26,INR
257,20251007,266,99,99,3,83,2,4598.36,9196.72,1548.2,7648.52,7265.08,383.44,INR
258,20251218,256,31,38,3,84,6,7994.97,47969.8,7613.88,40355.92,21493.5,18862.42,INR
259,20251218,256,32,38,3,84,3,4851.6,14554.8,3305.26,11249.55,7859.64,3389.91,INR
260,20251218,256,42,38,3,84,6,7382.6,44295.6,2611.58,41684.02,27898.5,13785.52,INR
261,20251218,256,173,38,3,84,2,5980.37,11960.73,1127.85,10832.88,7559.26,3273.62,INR
262,20250220,40,120,45,2,85,2,775.43,1550.86,84.0,1466.86,767.0,699.86,INR
263,20250220,40,83,45,2,85,5,1824.49,9122.43,1501.83,7620.6,5194.9,2425.7,INR
264,20250220,40,3,45,2,85,5,1514.23,7571.15,118.12,7453.03,4029.1,3423.93,INR
265,20250327,854,114,51,2,86,6,1184.55,7107.27,1685.44,5421.83,5927.88,-506.05,INR
266,20250327,854,31,51,2,86,3,7484.29,22452.86,412.19,22040.67,10746.75,11293.92,INR
267,20250327,854,168,51,2,86,7,2408.8,16861.61,75.44,16786.17,11935.56,4850.61,INR
268,20250416,842,66,78,12,87,4,6045.44,24181.75,2048.8,22132.95,13143.88,8989.07,INR
269,20250416,842,181,78,12,87,2,5320.78,10641.55,645.52,9996.04,5016.0,4980.04,INR
270,20250416,842,6,78,12,87,7,3242.11,22694.8,2865.87,19828.93,13299.3,6529.63,INR
271,20250322,555,121,74,5,88,3,2298.02,6894.05,721.87,6172.18,3090.0,3082.18,INR
272,20250322,555,118,74,5,88,1,8427.52,8427.52,825.76,7601.77,4874.22,2727.55,INR
273,20250322,555,26,74,5,88,1,4334.42,4334.42,931.04,3403.37,2359.22,1044.15,INR
274,20250201,350,105,98,4,89,7,5481.71,38371.98,2844.21,35527.77,24092.67,11435.1,INR
275,20250201,350,2,98,4,89,4,7703.57,30814.29,810.95,30003.34,17724.84,12278.5,INR
276,20250201,350,76,98,4,89,2,4130.66,8261.31,513.85,7747.47,5663.9,2083.57,INR
