customer_key,customer_id,customer_name,customer_segment,industry,city,state,country,location_key
47,CUST-00047,Customer 00047,Mid-Market,Manufacturing,Bengaluru,Karnataka,India,6
48,CUST-00048,Customer 00048,SMB,Healthcare,Ahmedabad,Gujarat,India,3
49,CUST-00049,Customer 00049,Enterprise,Healthcare,Hyderabad,Telangana,India,8
50,CUST-00050,Customer 00050,Consumer,Technology,Jaipur,Rajasthan,India,5
51,CUST-00051,Customer 00051,SMB,Telecommunications,Jaipur,Rajasthan,India,5
52,CUST-00052,Customer 00052,Consumer,Financial Services,Bengaluru,Karnataka,India,6
53,CUST-00053,Customer 00053,SMB,Education,Mumbai,Maharashtra,India,4
54,CUST-00054,Customer 00054,Mid-Market,Manufacturing,Bhubaneswar,Odisha,India,10
55,CUST-00055,Customer 00055,Consumer,Technology,Delhi,Delhi,India,1
56,CUST-00056,Customer 00056,Mid-Market,Manufacturing,Chandigarh,Punjab,India,2
57,CUST-00057,Customer 00057,SMB,Healthcare,Kolkata,West Bengal,India,9
58,CUST-00058,Customer 00058,Consumer,Financial Services,Chennai,Tamil Nadu,India,7
59,CUST-00059,Customer 00059,SMB,Education,Delhi,Delhi,India,1
60,CUST-00060,Customer 00060,SMB,Manufacturing,Hyderabad,Telangana,India,8
61,CUST-00061,Customer 00061,SMB,Retail,Chandigarh,Punjab,India,2
62,CUST-00062,Customer 00062,Mid-Market,Technology,Hyderabad,Telangana,India,8
63,CUST-00063,Customer 00063,SMB,Technology,Bhubaneswar,Odisha,India,10
64,CUST-00064,Customer 00064,Enterprise,Healthcare,Ahmedabad,Gujarat,India,3
65,CUST-00065,Customer 00065,SMB,Technology,Kolkata,West Bengal,India,9
66,CUST-00066,Customer 00066,Consumer,Financial Services,Bhubaneswar,Odisha,India,10
67,CUST-00067,Customer 00067,Mid-Market,Retail,Bhopal,Madhya Pradesh,India,12
68,CUST-00068,Customer 00068,Enterprise,Retail,Hyderabad,Telangana,India,8
69,CUST-00069,Customer 00069,SMB,Telecommunications,Chandigarh,Punjab,India,2
70,CUST-00070,Customer 00070,Enterprise,Education,Bengaluru,Karnataka,India,6
71,CUST-00071,Customer 00071,SMB,Manufacturing,Mumbai,Maharashtra,India,4
72,CUST-00072,Customer 00072,SMB,Telecommunications,Bengaluru,Karnataka,India,6
73,CUST-00073,Customer 00073,Mid-Market,Manufacturing,Chennai,Tamil Nadu,India,7
74,CUST-00074,Customer 00074,SMB,Healthcare,Bhopal,Madhya Pradesh,India,12
75,CUST-00075,Customer 00075,Enterprise,Manufacturing,Indore,Madhya Pradesh,India,11
76,CUST-00076,Customer 00076,Consumer,Education,Jaipur,Rajasthan,India,5
77,CUST-00077,Customer 00077,SMB,Technology,Chennai,Tamil Nadu,India,7
78,CUST-00078,Customer 00078,SMB,Technology,Mumbai,Maharashtra,India,4
79,CUST-00079,Customer 00079,SMB,Financial Services,Chandigarh,Punjab,India,2
80,CUST-00080,Customer 00080,SMB,Education,Kolkata,West Bengal,India,9
81,CUST-00081,Customer 00081,Consumer,Technology,Mumbai,Maharashtra,India,4
82,CUST-00082,Customer 00082,Enterprise,Financial Services,Bhopal,Madhya Pradesh,India,12
83,CUST-00083,Customer 00083,Mid-Market,Manufacturing,Chandigarh,Punjab,India,2
84,CUST-00084,Customer 00084,Consumer,Education,Mumbai,Maharashtra,India,4
85,CUST-00085,Customer 00085,Consumer,Healthcare,Bhopal,Madhya Pradesh,India,12
86,CUST-00086,Customer 00086,SMB,Healthcare,Hyderabad,Telangana,India,8
87,CUST-00087,Customer 00087,Consumer,Financial Services,Indore,Madhya Pradesh,India,11
88,CUST-00088,Customer 00088,Enterprise,Financial Services,Ahmedabad,Gujarat,India,3
89,CUST-00089,Customer 00089,Consumer,Manufacturing,Mumbai,Maharashtra,India,4
90,CUST-00090,Customer 00090,SMB,Telecommunications,Chandigarh,Punjab,India,2
91,CUST-00091,Customer 00091,Consumer,Telecommunications,Indore,Madhya Pradesh,India,11
92,CUST-00092,Customer 00092,Mid-Market,Manufacturing,Chandigarh,Punjab,India,2
93,CUST-00093,Customer 00093,SMB,Education,Delhi,Delhi,India,1
94,CUST-00094,Customer 00094,Enterprise,Healthcare,Jaipur,Rajasthan,India,5
95,CUST-00095,Customer 00095,Mid-Market,Education,Kolkata,West Bengal,India,9
96,CUST-00096,Customer 00096,Mid-Market,Telecommunications,Delhi,Delhi,India,1
97,CUST-00097,Customer 00097,Consumer,Technology,Delhi,Delhi,India,1
98,CUST-00098,Customer 00098,Mid-Market,Financial Services,Indore,Madhya Pradesh,India,11
99,CUST-00099,Customer 00099,Consumer,Retail,Jaipur,Rajasthan,India,5
100,CUST-00100,Customer 00100,Mid-Market,Financial Services,Delhi,Delhi,India,1
101,CUST-00101,Customer 00101,Consumer,Education,Bhopal,Madhya Pradesh,India,12
102,CUST-00102,Customer 00102,Enterprise,Manufacturing,Bengaluru,Karnataka,India,6
103,CUST-00103,Customer 00103,Mid-Market,Technology,Bhopal,Madhya Pradesh,India,12
104,CUST-00104,Customer 00104,SMB,Technology,Mumbai,Maharashtra,India,4
105,CUST-00105,Customer 00105,SMB,Technology,Bhopal,Madhya Pradesh,India,12
106,CUST-00106,Customer 00106,SMB,Retail,Bhopal,Madhya Pradesh,India,12
107,CUST-00107,Customer 00107,Consumer,Financial Services,Bengaluru,Karnataka,India,6
108,CUST-00108,Customer 00108,SMB,Education,Delhi,Delhi,India,1
109,CUST-00109,Customer 00109,Enterprise,Technology,Bhubaneswar,Odisha,India,10
110,CUST-00110,Customer 00110,Mid-Market,Telecommunications,Chennai,Tamil Nadu,India,7
111,CUST-00111,Customer 00111,SMB,Healthcare,Bhopal,Madhya Pradesh,India,12
112,CUST-00112,Customer 00112,Consumer,Retail,Chennai,Tamil Nadu,India,7
113,CUST-00113,Customer 00113,Consumer,Healthcare,Chennai,Tamil Nadu,India,7
114,CUST-00114,Customer 00114,SMB,Technology,Bengaluru,Karnataka,India,6
115,CUST-00115,Customer 00115,Enterprise,Retail,Chandigarh,Punjab,India,2
116,CUST-00116,Customer 00116,Mid-Market,Technology,Kolkata,West Bengal,India,9
117,CUST-00117,Customer 00117,SMB,Telecommunications,Delhi,Delhi,India,1
118,CUST-00118,Customer 00118,Consumer,Telecommunications,Ahmedabad,Gujarat,India,3
119,CUST-00119,Customer 00119,SMB,Manufacturing,Bengaluru,Karnataka,India,6
120,CUST-00120,Customer 00120,Enterprise,Technology,Indore,Madhya Pradesh,India,11
121,CUST-00121,Customer 00121,SMB,Education,Mumbai,Maharashtra,India,4
122,CUST-00122,Customer 00122,SMB,Financial Services,Bengaluru,Karnataka,India,6
123,CUST-00123,Customer 00123,Consumer,Retail,Bhubaneswar,Odisha,India,10
124,CUST-00124,Customer 00124,Mid-Market,Retail,Bhubaneswar,Odisha,India,10
125,CUST-00125,Customer 00125,Mid-Market,Healthcare,Chandigarh,Punjab,India,2
126,CUST-00126,Customer 00126,Consumer,Retail,Chandigarh,Punjab,India,2
127,CUST-00127,Customer 00127,Mid-Market,Manufacturing,Mumbai,Maharashtra,India,4
128,CUST-00128,Customer 00128,SMB,Financial Services,Mumbai,Maharashtra,India,4
129,CUST-00129,Customer 00129,Enterprise,Education,Indore,Madhya Pradesh,India,11
130,CUST-00130,Customer 00130,SMB,Technology,Indore,Madhya Pradesh,India,11
131,CUST-00131,Customer 00131,Consumer,Financial Services,Jaipur,Rajasthan,India,5
132,CUST-00132,Customer 00132,Enterprise,Healthcare,Mumbai,Maharashtra,India,4
133,CUST-00133,Customer 00133,Mid-Market,Telecommunications,Indore,Madhya Pradesh,India,11
134,CUST-00134,Customer 00134,Mid-Market,Financial Services,Chandigarh,Punjab,India,2
135,CUST-00135,Customer 00135,Enterprise,Technology,Bengaluru,Karnataka,India,6
136,CUST-00136,Customer 00136,Mid-Market,Technology,Kolkata,West Bengal,India,9
137,CUST-00137,Customer 00137,SMB,Technology,Bhubaneswar,Odisha,India,10
138,CUST-00138,Customer 00138,Mid-Market,Retail,Chennai,Tamil Nadu,India,7
139,CUST-00139,Customer 00139,SMB,Healthcare,Bhubaneswar,Odisha,India,10
140,CUST-00140,Customer 00140,Consumer,Telecommunications,Kolkata,West Bengal,India,9
141,CUST-00141,Customer 00141,Mid-Market,Technology,Chennai,Tamil Nadu,India,7
142,CUST-00142,Customer 00142,Mid-Market,Financial Services,Indore,Madhya Pradesh,India,11
143,CUST-00143,Customer 00143,Mid-Market,Manufacturing,Hyderabad,Telangana,India,8
144,CUST-00144,Customer 00144,Mid-Market,Technology,Mumbai,Maharashtra,India,4
145,CUST-00145,Customer 00145,Enterprise,Manufacturing,Bhopal,Madhya Pradesh,India,12
146,CUST-00146,Customer 00146,Enterprise,Education,Chandigarh,Punjab,India,2
147,CUST-00147,Customer 00147,Enterprise,Telecommunications,Jaipur,Rajasthan,India,5
148,CUST-00148,Customer 00148,Consumer,Education,Indore,Madhya Pradesh,India,11
149,CUST-00149,Customer 00149,Consumer,Telecommunications,Ahmedabad,Gujarat,India,3
150,CUST-00150,Customer 00150,SMB,Education,Chennai,Tamil Nadu,India,7
151,CUST-00151,Customer 00151,Enterprise,Education,Hyderabad,Telangana,India,8
152,CUST-00152,Customer 00152,SMB,Manufacturing,Bhubaneswar,Odisha,India,10
153,CUST-00153,Customer 00153,SMB,Telecommunications,Bhopal,Madhya Pradesh,India,12
154,CUST-00154,Customer 00154,SMB,Healthcare,Bhubaneswar,Odisha,India,10
155,CUST-00155,Customer 00155,Enterprise,Financial Services,Ahmedabad,Gujarat,India,3
156,CUST-00156,Customer 00156,Mid-Market,Manufacturing,Bengaluru,Karnataka,India,6
157,CUST-00157,Customer 00157,Mid-Market,Financial Services,Hyderabad,Telangana,India,8
158,CUST-00158,Customer 00158,Mid-Market,Healthcare,Chennai,Tamil Nadu,India,7
159,CUST-00159,Customer 00159,SMB,Healthcare,Bengaluru,Karnataka,India,6
160,CUST-00160,Customer 00160,Consumer,Healthcare,Ahmedabad,Gujarat,India,3
161,CUST-00161,Customer 00161,SMB,Telecommunications,Kolkata,West Bengal,India,9
162,CUST-00162,Customer 00162,SMB,Healthcare,Bhubaneswar,Odisha,India,10
163,CUST-00163,Customer 00163,SMB,Education,Bhopal,Madhya Pradesh,India,12
164,CUST-00164,Customer 00164,SMB,Education,Ahmedabad,Gujarat,India,3
165,CUST-00165,Customer 00165,Mid-Market,Retail,Bhubaneswar,Odisha,India,10
166,CUST-00166,Customer 00166,Mid-Market,Education,Ahmedabad,Gujarat,India,3
167,CUST-00167,Customer 00167,Consumer,Retail,Hyderabad,Telangana,India,8
168,CUST-00168,Customer 00168,SMB,Technology,Bhopal,Madhya Pradesh,India,12
169,CUST-00169,Customer 00169,SMB,Technology,Hyderabad,Telangana,India,8
170,CUST-00170,Customer 00170,Consumer,Technology,Chennai,Tamil Nadu,India,7
171,CUST-00171,Customer 00171,Consumer,Technology,Kolkata,West Bengal,India,9
172,CUST-00172,Customer 00172,SMB,Education,Ahmedabad,Gujarat,India,3
173,CUST-00173,Customer 00173,SMB,Education,Bengaluru,Karnataka,India,6
174,CUST-00174,Customer 00174,Mid-Market,Telecommunications,Bhopal,Madhya Pradesh,India,12
175,CUST-00175,Customer 00175,Enterprise,Retail,Kolkata,West Bengal,India,9
176,CUST-00176,Customer 00176,Mid-Market,Retail,Chennai,Tamil Nadu,India,7
177,CUST-00177,Customer 00177,SMB,Manufacturing,Chandigarh,Punjab,India,2
178,CUST-00178,Customer 00178,SMB,Manufacturing,Bengaluru,Karnataka,India,6
179,CUST-00179,Customer 00179,SMB,Education,Kolkata,West Bengal,India,9
180,CUST-00180,Customer 00180,SMB,Manufacturing,Chennai,Tamil Nadu,India,7
181,CUST-00181,Customer 00181,Enterprise,Telecommunications,Chandigarh,Punjab,India,2
182,CUST-00182,Customer 00182,Enterprise,Technology,Bhubaneswar,Odisha,India,10
183,CUST-00183,Customer 00183,Mid-Market,Retail,Bengaluru,Karnataka,India,6
184,CUST-00184,Customer 00184,SMB,Education,Bhopal,Madhya Pradesh,India,12
185,CUST-00185,Customer 00185,Consumer,Healthcare,Kolkata,West Bengal,India,9
186,CUST-00186,Customer 00186,Mid-Market,Education,Bhubaneswar,Odisha,India,10
187,CUST-00187,Customer 00187,Mid-Market,Healthcare,Bhubaneswar,Odisha,India,10
188,CUST-00188,Customer 00188,Enterprise,Financial Services,Mumbai,Maharashtra,India,4
189,CUST-00189,Customer 00189,Mid-Market,Telecommunications,Chandigarh,Punjab,India,2
190,CUST-00190,Customer 00190,SMB,Healthcare,Kolkata,West Bengal,India,9
191,CUST-00191,Customer 00191,Consumer,Manufacturing,Ahmedabad,Gujarat,India,3
192,CUST-00192,Customer 00192,SMB,Education,Jaipur,Rajasthan,India,5
193,CUST-00193,Customer 00193,Consumer,Healthcare,Chandigarh,Punjab,India,2
194,CUST-00194,Customer 00194,Consumer,Education,Delhi,Delhi,India,1
195,CUST-00195,Customer 00195,Consumer,Technology,Bengaluru,Karnataka,India,6
196,CUST-00196,Customer 00196,Enterprise,Retail,Indore,Madhya Pradesh,India,11
197,CUST-00197,Customer 00197,SMB,Retail,Bengaluru,Karnataka,India,6
198,CUST-00198,Customer 00198,SMB,Technology,Chennai,Tamil Nadu,India,7
199,CUST-00199,Customer 00199,Mid-Market,Education,Kolkata,West Bengal,India,9
200,CUST-00200,Customer 00200,Mid-Market,Manufacturing,Bhopal,Madhya Pradesh,India,12
201,CUST-00201,Customer 00201,Consumer,Healthcare,Delhi,Delhi,India,1
202,CUST-00202,Customer 00202,Enterprise,Education,Kolkata,West Bengal,India,9
203,CUST-00203,Customer 00203,Consumer,Telecommunications,Jaipur,Rajasthan,India,5
204,CUST-00204,Customer 00204,Consumer,Financial Services,Kolkata,West Bengal,India,9
205,CUST-00205,Customer 00205,Consumer,Technology,Delhi,Delhi,India,1
206,CUST-00206,Customer 00206,SMB,Retail,Delhi,Delhi,India,1
207,CUST-00207,Customer 00207,Consumer,Technology,Hyderabad,Telangana,India,8
208,CUST-00208,Customer 00208,Mid-Market,Technology,Indore,Madhya Pradesh,India,11
209,CUST-00209,Customer 00209,SMB,Financial Services,Bengaluru,Karnataka,India,6
210,CUST-00210,Customer 00210,Consumer,Financial Services,Bhubaneswar,Odisha,India,10
211,CUST-00211,Customer 00211,Enterprise,Retail,Mumbai,Maharashtra,India,4
212,CUST-00212,Customer 00212,Enterprise,Technology,Delhi,Delhi,India,1
213,CUST-00213,Customer 00213,Consumer,Retail,Bhubaneswar,Odisha,India,10
214,CUST-00214,Customer 00214,Consumer,Financial Services,Bhopal,Madhya Pradesh,India,12
215,CUST-00215,Customer 00215,Consumer,Technology,Ahmedabad,Gujarat,India,3
216,CUST-00216,Customer 00216,SMB,Telecommunications,Bhopal,Madhya Pradesh,India,12
217,CUST-00217,Customer 00217,Consumer,Retail,Indore,Madhya Pradesh,India,11
218,CUST-00218,Customer 00218,Mid-Market,Technology,Bengaluru,Karnataka,India,6
219,CUST-00219,Customer 00219,SMB,Technology,Chandigarh,Punjab,India,2
220,CUST-00220,Customer 00220,SMB,Education,Chennai,Tamil Nadu,India,7
221,CUST-00221,Customer 00221,Mid-Market,Education,Chandigarh,Punjab,India,2
222,CUST-00222,Customer 00222,Mid-Market,Education,Bhubaneswar,Odisha,India,10
223,CUST-00223,Customer 00223,SMB,Financial Services,Delhi,Delhi,India,1
224,CUST-00224,Customer 00224,SMB,Telecommunications,Chennai,Tamil Nadu,India,7
225,CUST-00225,Customer 00225,SMB,Technology,Chennai,Tamil Nadu,India,7
226,CUST-00226,Customer 00226,Consumer,Technology,Delhi,Delhi,India,1
227,CUST-00227,Customer 00227,Mid-Market,Retail,Bengaluru,Karnataka,India,6
228,CUST-00228,Customer 00228,Mid-Market,Technology,Jaipur,Rajasthan,India,5
229,CUST-00229,Customer 00229,SMB,Telecommunications,Jaipur,Rajasthan,India,5
230,CUST-00230,Customer 00230,SMB,Education,Chennai,Tamil Nadu,India,7
231,CUST-00231,Customer 00231,Enterprise,Retail,Indore,Madhya Pradesh,India,11
232,CUST-00232,Customer 00232,Mid-Market,Telecommunications,Ahmedabad,Gujarat,India,3
233,CUST-00233,Customer 00233,SMB,Retail,Bengaluru,Karnataka,India,6
234,CUST-00234,Customer 00234,Consumer,Retail,Mumbai,Maharashtra,India,4
235,CUST-00235,Customer 00235,SMB,Financial Services,Chandigarh,Punjab,India,2
236,CUST-00236,Customer 00236,SMB,Healthcare,Kolkata,West Bengal,India,9
237,CUST-00237,Customer 00237,Enterprise,Technology,Chandigarh,Punjab,India,2
238,CUST-00238,Customer 00238,Mid-Market,Financial Services,Bhopal,Madhya Pradesh,India,12
239,CUST-00239,Customer 00239,SMB,Healthcare,Hyderabad,Telangana,India,8
240,CUST-00240,Customer 00240,Mid-Market,Retail,Jaipur,Rajasthan,India,5
241,CUST-00241,Customer 00241,Mid-Market,Healthcare,Chandigarh,Punjab,India,2
242,CUST-00242,Customer 00242,Mid-Market,Retail,Bhopal,Madhya Pradesh,India,12
243,CUST-00243,Customer 00243,Mid-Market,Technology,Bhopal,Madhya Pradesh,India,12
244,CUST-00244,Customer 00244,Mid-Market,Manufacturing,Bengaluru,Karnataka,India,6
245,CUST-00245,Customer 00245,SMB,Retail,Chandigarh,Punjab,India,2
246,CUST-00246,Customer 00246,SMB,Retail,Hyderabad,Telangana,India,8
247,CUST-00247,Customer 00247,Mid-Market,Retail,Hyderabad,Telangana,India,8
248,CUST-00248,Customer 00248,SMB,Education,Ahmedabad,Gujarat,India,3
249,CUST-00249,Customer 00249,SMB,Manufacturing,Ahmedabad,Gujarat,India,3
250,CUST-00250,Customer 00250,SMB,Healthcare,Chennai,Tamil Nadu,India,7
251,CUST-00251,Customer 00251,Consumer,Education,Bhubaneswar,Odisha,India,10
252,CUST-00252,Customer 00252,SMB,Telecommunications,Chandigarh,Punjab,India,2
253,CUST-00253,Customer 00253,SMB,Manufacturing,Kolkata,West Bengal,India,9
254,CUST-00254,Customer 00254,Consumer,Healthcare,Ahmedabad,Gujarat,India,3
255,CUST-00255,Customer 00255,Enterprise,Manufacturing,Jaipur,Rajasthan,India,5
256,CUST-00256,Customer 00256,Consumer,Technology,Delhi,Delhi,India,1
257,CUST-00257,Customer 00257,Mid-Market,Technology,Bhubaneswar,Odisha,India,10
258,CUST-00258,Customer 00258,Mid-Market,Healthcare,Chennai,Tamil Nadu,India,7
259,CUST-00259,Customer 00259,SMB,Healthcare,Kolkata,West Bengal,India,9
260,CUST-00260,Customer 00260,Consumer,Technology,Indore,Madhya Pradesh,India,11
261,CUST-00261,Customer 00261,Mid-Market,Education,Kolkata,West Bengal,India,9
262,CUST-00262,Customer 00262,SMB,Financial Services,Kolkata,West Bengal,India,9
263,CUST-00263,Customer 00263,Mid-Market,Technology,Kolkata,West Bengal,India,9
264,CUST-00264,Customer 00264,Consumer,Telecommunications,Chennai,Tamil Nadu,India,7
265,CUST-00265,Customer 00265,Mid-Market,Education,Bengaluru,Karnataka,India,6
266,CUST-00266,Customer 00266,SMB,Retail,Bhubaneswar,Odisha,India,10
267,CUST-00267,Customer 00267,SMB,Healthcare,Bhubaneswar,Odisha,India,10
268,CUST-00268,Customer 00268,Mid-Market,Technology,Jaipur,Rajasthan,India,5
269,CUST-00269,Customer 00269,Mid-Market,Manufacturing,Bhubaneswar,Odisha,India,10
270,CUST-00270,Customer 00270,Consumer,Financial Services,Kolkata,West Bengal,India,9
271,CUST-00271,Customer 00271,SMB,Telecommunications,Bhopal,Madhya Pradesh,India,12
272,CUST-00272,Customer 00272,Consumer,Education,Ahmedabad,Gujarat,India,3
273,CUST-00273,Customer 00273,Mid-Market,Technology,Hyderabad,Telangana,India,8
274,CUST-00274,Customer 00274,Enterprise,Healthcare,Indore,Madhya Pradesh,India,11
275,CUST-00275,Customer 00275,Mid-Market,Education,Indore,Madhya Pradesh,India,11
276,CUST-00276,Customer 00276,Mid-Market,Manufacturing,Bengaluru,Karnataka,India,6
277,CUST-00277,Customer 00277,Consumer,Financial Services,Mumbai,Maharashtra,India,4
278,CUST-00278,Customer 00278,Mid-Market,Technology,Bhopal,Madhya Pradesh,India,12
279,CUST-00279,Customer 00279,SMB,Healthcare,Ahmedabad,Gujarat,India,3
280,CUST-00280,Customer 00280,SMB,Retail,Bhopal,Madhya Pradesh,India,12
281,CUST-00281,Customer 00281,Mid-Market,Technology,Delhi,Delhi,India,1
282,CUST-00282,Customer 00282,SMB,Education,Indore,Madhya Pradesh,India,11
283,CUST-00283,Customer 00283,SMB,Retail,Chennai,Tamil Nadu,India,7
284,CUST-00284,Customer 00284,Enterprise,Education,Bhubaneswar,Odisha,India,10
285,CUST-00285,Customer 00285,SMB,Healthcare,Kolkata,West Bengal,India,9
286,CUST-00286,Customer 00286,Consumer,Healthcare,Indore,Madhya Pradesh,India,11
287,CUST-00287,Customer 00287,SMB,Manufacturing,Mumbai,Maharashtra,India,4
288,CUST-00288,Customer 00288,SMB,Education,Kolkata,West Bengal,India,9
289,CUST-00289,Customer 00289,SMB,Telecommunications,Bengaluru,Karnataka,India,6
290,CUST-00290,Customer 00290,Mid-Market,Education,Chandigarh,Punjab,India,2
291,CUST-00291,Customer 00291,SMB,Manufacturing,Chennai,Tamil Nadu,India,7
292,CUST-00292,Customer 00292,Mid-Market,Technology,Chennai,Tamil Nadu,India,7
293,CUST-00293,Customer 00293,SMB,Telecommunications,Bhopal,Madhya Pradesh,India,12
294,CUST-00294,Customer 00294,Mid-Market,Financial Services,Jaipur,Rajasthan,India,5
295,CUST-00295,Customer 00295,Enterprise,Financial Services,Mumbai,Maharashtra,India,4
296,CUST-00296,Customer 00296,Mid-Market,Telecommunications,Hyderabad,Telangana,India,8
297,CUST-00297,Customer 00297,SMB,Healthcare,Bengaluru,Karnataka,India,6
298,CUST-00298,Customer 00298,Mid-Market,Technology,Chennai,Tamil Nadu,India,7
299,CUST-00299,Customer 00299,SMB,Retail,Ahmedabad,Gujarat,India,3
300,CUST-00300,Customer 00300,SMB,Telecommunications,Kolkata,West Bengal,India,9
301,CUST-00301,Customer 00301,SMB,Manufacturing,Indore,Madhya Pradesh,India,11
302,CUST-00302,Customer 00302,SMB,Telecommunications,Hyderabad,Telangana,India,8
303,CUST-00303,Customer 00303,SMB,Telecommunications,Mumbai,Maharashtra,India,4
304,CUST-00304,Customer 00304,Enterprise,Telecommunications,Bengaluru,Karnataka,India,6
305,CUST-00305,Customer 00305,Mid-Market,Education,Chennai,Tamil Nadu,India,7
306,CUST-00306,Customer 00306,SMB,Manufacturing,Hyderabad,Telangana,India,8
307,CUST-00307,Customer 00307,Consumer,Telecommunications,Bengaluru,Karnataka,India,6
308,CUST-00308,Customer 00308,SMB,Healthcare,Chandigarh,Punjab,India,2
309,CUST-00309,Customer 00309,Mid-Market,Education,Bhopal,Madhya Pradesh,India,12
310,CUST-00310,Customer 00310,Enterprise,Technology,Delhi,Delhi,India,1
311,CUST-00311,Customer 00311,SMB,Education,Chennai,Tamil Nadu,India,7
312,CUST-00312,Customer 00312,SMB,Telecommunications,Indore,Madhya Pradesh,India,11
313,CUST-00313,Customer 00313,Mid-Market,Telecommunications,Mumbai,Maharashtra,India,4
314,CUST-00314,Customer 00314,Enterprise,Education,Delhi,Delhi,India,1
315,CUST-00315,Customer 00315,Consumer,Manufacturing,Ahmedabad,Gujarat,India,3
316,CUST-00316,Customer 00316,Consumer,Telecommunications,Mumbai,Maharashtra,India,4
317,CUST-00317,Customer 00317,Mid-Market,Technology,Ahmedabad,Gujarat,India,3
318,CUST-00318,Customer 00318,Enterprise,Technology,Bhopal,Madhya Pradesh,India,12
319,CUST-00319,Customer 00319,SMB,Retail,Bhopal,Madhya Pradesh,India,12
